Time (sec), Heater 1 (%), Temperature 1 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,3.467000000000000171e+01
9.975435733795166016e-01,0.000000000000000000e+00,3.467000000000000171e+01
1.997968196868896484e+00,0.000000000000000000e+00,3.467000000000000171e+01
2.998694896697998047e+00,0.000000000000000000e+00,3.467000000000000171e+01
4.000201225280761719e+00,0.000000000000000000e+00,3.467000000000000171e+01
4.999361038208007812e+00,0.000000000000000000e+00,3.467000000000000171e+01
6.000942230224609375e+00,0.000000000000000000e+00,3.467000000000000171e+01
7.001202106475830078e+00,0.000000000000000000e+00,3.467000000000000171e+01
7.993515253067016602e+00,0.000000000000000000e+00,3.467000000000000171e+01
8.996246576309204102e+00,0.000000000000000000e+00,3.467000000000000171e+01
9.997963190078735352e+00,2.000000000000000000e+01,3.467000000000000171e+01
1.099074196815490723e+01,2.000000000000000000e+01,3.467000000000000171e+01
1.199247765541076660e+01,2.000000000000000000e+01,3.467000000000000171e+01
1.299095726013183594e+01,2.000000000000000000e+01,3.467000000000000171e+01
1.398483037948608398e+01,2.000000000000000000e+01,3.467000000000000171e+01
1.498855495452880859e+01,2.000000000000000000e+01,3.503000000000000114e+01
1.598711657524108887e+01,2.000000000000000000e+01,3.507999999999999829e+01
1.697814440727233887e+01,2.000000000000000000e+01,3.515999999999999659e+01
1.797334837913513184e+01,2.000000000000000000e+01,3.517999999999999972e+01
1.897573947906494141e+01,2.000000000000000000e+01,3.557000000000000028e+01
1.997097778320312500e+01,2.000000000000000000e+01,3.564000000000000057e+01
2.096449565887451172e+01,2.000000000000000000e+01,3.577000000000000313e+01
2.196503067016601562e+01,2.000000000000000000e+01,3.603999999999999915e+01
2.296566271781921387e+01,2.000000000000000000e+01,3.613000000000000256e+01
2.396558833122253418e+01,2.000000000000000000e+01,3.645000000000000284e+01
2.496521162986755371e+01,2.000000000000000000e+01,3.661999999999999744e+01
2.597035026550292969e+01,2.000000000000000000e+01,3.661999999999999744e+01
2.696947526931762695e+01,2.000000000000000000e+01,3.700999999999999801e+01
2.797082662582397461e+01,2.000000000000000000e+01,3.710999999999999943e+01
2.897276687622070312e+01,2.000000000000000000e+01,3.747999999999999687e+01
2.997279524803161621e+01,2.000000000000000000e+01,3.757000000000000028e+01
3.097581911087036133e+01,2.000000000000000000e+01,3.764999999999999858e+01
3.197817420959472656e+01,2.000000000000000000e+01,3.799000000000000199e+01
3.297914552688598633e+01,2.000000000000000000e+01,3.809000000000000341e+01
3.397866964340209961e+01,2.000000000000000000e+01,3.847999999999999687e+01
3.498076128959655762e+01,2.000000000000000000e+01,3.857000000000000028e+01
3.598217844963073730e+01,2.000000000000000000e+01,3.878999999999999915e+01
3.698179650306701660e+01,2.000000000000000000e+01,3.903999999999999915e+01
3.798653554916381836e+01,2.000000000000000000e+01,3.909000000000000341e+01
3.898558783531188965e+01,2.000000000000000000e+01,3.947999999999999687e+01
3.998783349990844727e+01,2.000000000000000000e+01,3.954999999999999716e+01
4.098821234703063965e+01,2.000000000000000000e+01,3.996999999999999886e+01
4.199061822891235352e+01,2.000000000000000000e+01,4.003999999999999915e+01
4.298961544036865234e+01,2.000000000000000000e+01,4.032999999999999829e+01
4.399343037605285645e+01,2.000000000000000000e+01,4.050000000000000000e+01
4.499379920959472656e+01,2.000000000000000000e+01,4.082000000000000028e+01
4.599366068840026855e+01,2.000000000000000000e+01,4.096999999999999886e+01
4.699511027336120605e+01,2.000000000000000000e+01,4.102000000000000313e+01
4.799668979644775391e+01,2.000000000000000000e+01,4.140999999999999659e+01
4.899966526031494141e+01,2.000000000000000000e+01,4.150000000000000000e+01
4.999929475784301758e+01,2.000000000000000000e+01,4.193999999999999773e+01
5.100102877616882324e+01,2.000000000000000000e+01,4.199000000000000199e+01
5.200082778930664062e+01,2.000000000000000000e+01,4.242999999999999972e+01
5.300299620628356934e+01,2.000000000000000000e+01,4.247999999999999687e+01
5.400543856620788574e+01,2.000000000000000000e+01,4.286999999999999744e+01
5.499772953987121582e+01,2.000000000000000000e+01,4.296999999999999886e+01
5.598940205574035645e+01,2.000000000000000000e+01,4.328999999999999915e+01
5.698581933975219727e+01,2.000000000000000000e+01,4.342999999999999972e+01
5.799249815940856934e+01,2.000000000000000000e+01,4.363000000000000256e+01
5.898892235755920410e+01,2.000000000000000000e+01,4.386999999999999744e+01
5.998013067245483398e+01,2.000000000000000000e+01,4.396999999999999886e+01
6.098258090019226074e+01,2.000000000000000000e+01,4.431000000000000227e+01
6.198616528511047363e+01,2.000000000000000000e+01,4.442999999999999972e+01
6.298985767364501953e+01,2.000000000000000000e+01,4.485000000000000142e+01
6.399163913726806641e+01,2.000000000000000000e+01,4.492000000000000171e+01
6.499477505683898926e+01,2.000000000000000000e+01,4.528999999999999915e+01
6.599977684020996094e+01,2.000000000000000000e+01,4.539000000000000057e+01
