Time (sec),  Heater (%),  Temperature (C)
0.000000000000000000e+00,0.000000000000000000e+00,2.478999999999999915e+01
9.980657100677490234e-01,0.000000000000000000e+00,2.480000000000000071e+01
1.988971710205078125e+00,0.000000000000000000e+00,2.480000000000000071e+01
2.987126350402832031e+00,0.000000000000000000e+00,2.480000000000000071e+01
3.991211891174316406e+00,0.000000000000000000e+00,2.480000000000000071e+01
4.989729881286621094e+00,0.000000000000000000e+00,2.480000000000000071e+01
5.990695714950561523e+00,0.000000000000000000e+00,2.480000000000000071e+01
6.986855268478393555e+00,0.000000000000000000e+00,2.480000000000000071e+01
7.985308408737182617e+00,0.000000000000000000e+00,2.480999999999999872e+01
8.986046314239501953e+00,0.000000000000000000e+00,2.480999999999999872e+01
9.977024078369140625e+00,0.000000000000000000e+00,2.480000000000000071e+01
1.097574424743652344e+01,0.000000000000000000e+00,2.483999999999999986e+01
1.197569561004638672e+01,0.000000000000000000e+00,2.480000000000000071e+01
1.297564220428466797e+01,0.000000000000000000e+00,2.482000000000000028e+01
1.397676467895507812e+01,0.000000000000000000e+00,2.480999999999999872e+01
1.497591710090637207e+01,0.000000000000000000e+00,2.482999999999999829e+01
1.597940659523010254e+01,0.000000000000000000e+00,2.482000000000000028e+01
1.698293733596801758e+01,0.000000000000000000e+00,2.483999999999999986e+01
1.797562837600708008e+01,0.000000000000000000e+00,2.487000000000000099e+01
1.897628593444824219e+01,0.000000000000000000e+00,2.483999999999999986e+01
1.998111724853515625e+01,0.000000000000000000e+00,2.485000000000000142e+01
2.098237442970275879e+01,0.000000000000000000e+00,2.492000000000000171e+01
2.198021841049194336e+01,0.000000000000000000e+00,2.491000000000000014e+01
2.297982954978942871e+01,0.000000000000000000e+00,2.487999999999999901e+01
2.397955179214477539e+01,0.000000000000000000e+00,2.489000000000000057e+01
2.497484183311462402e+01,0.000000000000000000e+00,2.492000000000000171e+01
2.596741414070129395e+01,0.000000000000000000e+00,2.487000000000000099e+01
2.696798753738403320e+01,0.000000000000000000e+00,2.489000000000000057e+01
2.796949076652526855e+01,0.000000000000000000e+00,2.492000000000000171e+01
2.896899342536926270e+01,0.000000000000000000e+00,2.491000000000000014e+01
2.996900248527526855e+01,0.000000000000000000e+00,2.489999999999999858e+01
3.096234536170959473e+01,1.500000000000000000e+01,2.489999999999999858e+01
3.195398712158203125e+01,1.500000000000000000e+01,2.494000000000000128e+01
3.295142412185668945e+01,1.500000000000000000e+01,2.491000000000000014e+01
3.394935226440429688e+01,1.500000000000000000e+01,2.492000000000000171e+01
3.494378280639648438e+01,1.500000000000000000e+01,2.489999999999999858e+01
3.594588208198547363e+01,1.500000000000000000e+01,2.487000000000000099e+01
3.694809436798095703e+01,1.500000000000000000e+01,2.489999999999999858e+01
3.795128679275512695e+01,1.500000000000000000e+01,2.487000000000000099e+01
3.895206069946289062e+01,1.500000000000000000e+01,2.485999999999999943e+01
3.994838404655456543e+01,1.500000000000000000e+01,2.485999999999999943e+01
4.095148181915283203e+01,1.500000000000000000e+01,2.483999999999999986e+01
4.195329689979553223e+01,1.500000000000000000e+01,2.487999999999999901e+01
4.295109820365905762e+01,1.500000000000000000e+01,2.485000000000000142e+01
4.395227813720703125e+01,1.500000000000000000e+01,2.485000000000000142e+01
4.495090079307556152e+01,1.500000000000000000e+01,2.485999999999999943e+01
4.595313310623168945e+01,1.500000000000000000e+01,2.489999999999999858e+01
4.695413184165954590e+01,1.500000000000000000e+01,2.487999999999999901e+01
4.794988489151000977e+01,1.500000000000000000e+01,2.485000000000000142e+01
4.895477914810180664e+01,1.500000000000000000e+01,2.485000000000000142e+01
4.995455718040466309e+01,1.500000000000000000e+01,2.485000000000000142e+01
5.096063041687011719e+01,1.500000000000000000e+01,2.485000000000000142e+01
5.196045041084289551e+01,1.500000000000000000e+01,2.482000000000000028e+01
5.295726394653320312e+01,1.500000000000000000e+01,2.485000000000000142e+01
5.395975112915039062e+01,1.500000000000000000e+01,2.483999999999999986e+01
5.495434713363647461e+01,1.500000000000000000e+01,2.482999999999999829e+01
5.595360040664672852e+01,1.500000000000000000e+01,2.483999999999999986e+01
5.695623517036437988e+01,1.500000000000000000e+01,2.485000000000000142e+01
5.795766067504882812e+01,1.500000000000000000e+01,2.483999999999999986e+01
5.895436501502990723e+01,1.500000000000000000e+01,2.483999999999999986e+01
5.995283412933349609e+01,1.500000000000000000e+01,2.482999999999999829e+01
6.095006155967712402e+01,1.500000000000000000e+01,2.485000000000000142e+01
6.195238304138183594e+01,1.500000000000000000e+01,2.483999999999999986e+01
6.295441007614135742e+01,1.500000000000000000e+01,2.482999999999999829e+01
6.395242738723754883e+01,1.500000000000000000e+01,2.487000000000000099e+01
6.495115041732788086e+01,1.500000000000000000e+01,2.485999999999999943e+01
6.595347261428833008e+01,1.500000000000000000e+01,2.485000000000000142e+01
6.695692181587219238e+01,1.500000000000000000e+01,2.483999999999999986e+01
6.795658826828002930e+01,1.500000000000000000e+01,2.482000000000000028e+01
6.895433998107910156e+01,1.500000000000000000e+01,2.482000000000000028e+01
6.995373702049255371e+01,1.500000000000000000e+01,2.482999999999999829e+01
7.095666813850402832e+01,1.500000000000000000e+01,2.485000000000000142e+01
7.195308685302734375e+01,1.500000000000000000e+01,2.482999999999999829e+01
7.294824171066284180e+01,1.500000000000000000e+01,2.482999999999999829e+01
7.393898105621337891e+01,1.500000000000000000e+01,2.482999999999999829e+01
7.493730759620666504e+01,1.500000000000000000e+01,2.482000000000000028e+01
7.593721437454223633e+01,1.500000000000000000e+01,2.483999999999999986e+01
7.693738913536071777e+01,1.500000000000000000e+01,2.482000000000000028e+01
7.793611335754394531e+01,1.500000000000000000e+01,2.482999999999999829e+01
7.893565034866333008e+01,1.500000000000000000e+01,2.482999999999999829e+01
7.993685030937194824e+01,1.500000000000000000e+01,2.482000000000000028e+01
8.093910074234008789e+01,1.500000000000000000e+01,2.483999999999999986e+01
