Time (sec),  Heater (%),  Temperature (C)
0.000000000000000000e+00,0.000000000000000000e+00,2.607999999999999829e+01
1.003515005111694336e+00,0.000000000000000000e+00,2.607999999999999829e+01
1.999049425125122070e+00,0.000000000000000000e+00,2.607999999999999829e+01
2.998489856719970703e+00,0.000000000000000000e+00,2.607999999999999829e+01
3.996844053268432617e+00,0.000000000000000000e+00,2.607999999999999829e+01
4.999727725982666016e+00,0.000000000000000000e+00,2.607999999999999829e+01
6.002709865570068359e+00,0.000000000000000000e+00,2.607999999999999829e+01
6.993948221206665039e+00,0.000000000000000000e+00,2.607000000000000028e+01
7.989544391632080078e+00,0.000000000000000000e+00,2.607999999999999829e+01
8.991368293762207031e+00,0.000000000000000000e+00,2.607000000000000028e+01
9.991393566131591797e+00,4.000000000000000000e+01,2.607000000000000028e+01
1.099064087867736816e+01,4.000000000000000000e+01,2.596000000000000085e+01
1.199217915534973145e+01,4.000000000000000000e+01,2.598999999999999844e+01
1.299080395698547363e+01,4.000000000000000000e+01,2.596999999999999886e+01
1.399223327636718750e+01,4.000000000000000000e+01,2.607999999999999829e+01
1.498751020431518555e+01,4.000000000000000000e+01,2.626999999999999957e+01
1.598305940628051758e+01,4.000000000000000000e+01,2.630999999999999872e+01
1.698191881179809570e+01,4.000000000000000000e+01,2.655999999999999872e+01
1.798425865173339844e+01,4.000000000000000000e+01,2.667000000000000171e+01
1.897721409797668457e+01,4.000000000000000000e+01,2.696000000000000085e+01
1.996823668479919434e+01,4.000000000000000000e+01,2.707000000000000028e+01
2.097104954719543457e+01,4.000000000000000000e+01,2.732999999999999829e+01
2.196826434135437012e+01,4.000000000000000000e+01,2.760000000000000142e+01
2.296938896179199219e+01,4.000000000000000000e+01,2.789000000000000057e+01
2.397061324119567871e+01,4.000000000000000000e+01,2.803999999999999915e+01
2.496709609031677246e+01,4.000000000000000000e+01,2.830000000000000071e+01
2.596944427490234375e+01,4.000000000000000000e+01,2.855999999999999872e+01
2.696037173271179199e+01,4.000000000000000000e+01,2.887999999999999901e+01
2.795927643775939941e+01,4.000000000000000000e+01,2.917999999999999972e+01
2.895984077453613281e+01,4.000000000000000000e+01,2.937999999999999901e+01
2.995702695846557617e+01,4.000000000000000000e+01,2.962999999999999901e+01
3.095771265029907227e+01,4.000000000000000000e+01,2.992000000000000171e+01
3.195658206939697266e+01,4.000000000000000000e+01,3.017999999999999972e+01
3.296120405197143555e+01,4.000000000000000000e+01,3.048000000000000043e+01
3.396269631385803223e+01,4.000000000000000000e+01,3.080000000000000071e+01
3.496199417114257812e+01,4.000000000000000000e+01,3.110999999999999943e+01
3.596232771873474121e+01,4.000000000000000000e+01,3.135000000000000142e+01
3.696409416198730469e+01,4.000000000000000000e+01,3.162999999999999901e+01
3.796819949150085449e+01,4.000000000000000000e+01,3.189000000000000057e+01
3.896794033050537109e+01,4.000000000000000000e+01,3.221000000000000085e+01
3.996892690658569336e+01,4.000000000000000000e+01,3.250000000000000000e+01
4.096666073799133301e+01,4.000000000000000000e+01,3.279999999999999716e+01
4.196722388267517090e+01,4.000000000000000000e+01,3.307000000000000028e+01
4.296570801734924316e+01,4.000000000000000000e+01,3.342000000000000171e+01
4.396726179122924805e+01,4.000000000000000000e+01,3.374000000000000199e+01
4.496449065208435059e+01,4.000000000000000000e+01,3.402000000000000313e+01
4.596785187721252441e+01,4.000000000000000000e+01,3.435999999999999943e+01
4.696983265876770020e+01,4.000000000000000000e+01,3.467999999999999972e+01
4.796971726417541504e+01,4.000000000000000000e+01,3.499000000000000199e+01
4.896871972084045410e+01,4.000000000000000000e+01,3.529999999999999716e+01
4.996797370910644531e+01,4.000000000000000000e+01,3.559000000000000341e+01
5.097052454948425293e+01,4.000000000000000000e+01,3.579999999999999716e+01
5.197335052490234375e+01,4.000000000000000000e+01,3.607000000000000028e+01
5.297632288932800293e+01,4.000000000000000000e+01,3.635999999999999943e+01
5.397779059410095215e+01,4.000000000000000000e+01,3.671000000000000085e+01
5.498261427879333496e+01,4.000000000000000000e+01,3.696999999999999886e+01
5.598170137405395508e+01,4.000000000000000000e+01,3.727000000000000313e+01
5.698317527770996094e+01,4.000000000000000000e+01,3.757999999999999829e+01
5.798442363739013672e+01,4.000000000000000000e+01,3.789999999999999858e+01
5.898447704315185547e+01,4.000000000000000000e+01,3.821000000000000085e+01
5.998779726028442383e+01,4.000000000000000000e+01,3.853000000000000114e+01
6.098935580253601074e+01,4.000000000000000000e+01,3.885999999999999943e+01
6.199173879623413086e+01,4.000000000000000000e+01,3.918999999999999773e+01
6.299686551094055176e+01,4.000000000000000000e+01,3.949000000000000199e+01
6.399637937545776367e+01,4.000000000000000000e+01,3.982000000000000028e+01
6.499485898017883301e+01,4.000000000000000000e+01,4.009000000000000341e+01
6.600031566619873047e+01,4.000000000000000000e+01,4.036999999999999744e+01
6.700061464309692383e+01,4.000000000000000000e+01,4.064000000000000057e+01
6.799861979484558105e+01,4.000000000000000000e+01,4.092000000000000171e+01
6.900449299812316895e+01,4.000000000000000000e+01,4.117999999999999972e+01
7.000438523292541504e+01,4.000000000000000000e+01,4.147999999999999687e+01
7.100741958618164062e+01,4.000000000000000000e+01,4.177000000000000313e+01
7.199948287010192871e+01,4.000000000000000000e+01,4.207000000000000028e+01
7.299200534820556641e+01,4.000000000000000000e+01,4.240999999999999659e+01
7.399333763122558594e+01,4.000000000000000000e+01,4.271999999999999886e+01
7.499526524543762207e+01,4.000000000000000000e+01,4.303999999999999915e+01
7.599671006202697754e+01,4.000000000000000000e+01,4.328999999999999915e+01
7.699732208251953125e+01,4.000000000000000000e+01,4.346999999999999886e+01
7.799686050415039062e+01,4.000000000000000000e+01,4.374000000000000199e+01
7.899466753005981445e+01,4.000000000000000000e+01,4.404999999999999716e+01
7.999346971511840820e+01,4.000000000000000000e+01,4.434000000000000341e+01
8.099226665496826172e+01,4.000000000000000000e+01,4.465999999999999659e+01
8.199281167984008789e+01,4.000000000000000000e+01,4.496999999999999886e+01
8.299197983741760254e+01,4.000000000000000000e+01,4.528999999999999915e+01
8.399615883827209473e+01,4.000000000000000000e+01,4.556000000000000227e+01
8.499743509292602539e+01,4.000000000000000000e+01,4.575999999999999801e+01
8.599685049057006836e+01,4.000000000000000000e+01,4.596999999999999886e+01
8.699498820304870605e+01,4.000000000000000000e+01,4.625999999999999801e+01
8.799523353576660156e+01,4.000000000000000000e+01,4.657999999999999829e+01
8.899398612976074219e+01,4.000000000000000000e+01,4.682999999999999829e+01
8.999085903167724609e+01,4.000000000000000000e+01,4.707999999999999829e+01
9.099287247657775879e+01,4.000000000000000000e+01,4.728999999999999915e+01
9.199062371253967285e+01,4.000000000000000000e+01,4.756000000000000227e+01
9.299152255058288574e+01,4.000000000000000000e+01,4.789000000000000057e+01
9.399214839935302734e+01,4.000000000000000000e+01,4.818999999999999773e+01
9.499139261245727539e+01,4.000000000000000000e+01,4.839999999999999858e+01
9.599678564071655273e+01,4.000000000000000000e+01,4.853999999999999915e+01
9.700211048126220703e+01,4.000000000000000000e+01,4.885000000000000142e+01
9.799281167984008789e+01,4.000000000000000000e+01,4.913000000000000256e+01
9.898965430259704590e+01,4.000000000000000000e+01,4.935999999999999943e+01
9.998235201835632324e+01,4.000000000000000000e+01,4.956000000000000227e+01
1.009823219776153564e+02,4.000000000000000000e+01,4.982000000000000028e+01
1.019792792797088623e+02,4.000000000000000000e+01,5.011999999999999744e+01
1.029761416912078857e+02,4.000000000000000000e+01,5.045000000000000284e+01
