Time (sec),  Heater (%),  Temperature (C)
0.000000000000000000e+00,4.000000000000000000e+01,4.003999999999999915e+01
1.002495288848876953e+00,4.000000000000000000e+01,4.003999999999999915e+01
2.091175079345703125e+00,4.000000000000000000e+01,4.003999999999999915e+01
3.091199874877929688e+00,4.000000000000000000e+01,4.003999999999999915e+01
4.087835550308227539e+00,4.000000000000000000e+01,4.003999999999999915e+01
5.083167552947998047e+00,4.000000000000000000e+01,4.003999999999999915e+01
6.077440023422241211e+00,4.000000000000000000e+01,4.003999999999999915e+01
7.079278230667114258e+00,4.000000000000000000e+01,4.003999999999999915e+01
8.074305057525634766e+00,4.000000000000000000e+01,4.003999999999999915e+01
9.072954416275024414e+00,4.000000000000000000e+01,4.003999999999999915e+01
1.006957197189331055e+01,4.000000000000000000e+01,4.003999999999999915e+01
1.106697654724121094e+01,4.000000000000000000e+01,3.989000000000000057e+01
1.205863738059997559e+01,4.000000000000000000e+01,3.989000000000000057e+01
1.305146408081054688e+01,4.000000000000000000e+01,3.992000000000000171e+01
1.404945373535156250e+01,4.000000000000000000e+01,3.986999999999999744e+01
1.504549145698547363e+01,4.000000000000000000e+01,4.003999999999999915e+01
1.604552531242370605e+01,4.000000000000000000e+01,4.040999999999999659e+01
1.704123950004577637e+01,4.000000000000000000e+01,4.042999999999999972e+01
1.803370189666748047e+01,4.000000000000000000e+01,4.089000000000000057e+01
1.902869319915771484e+01,4.000000000000000000e+01,4.092000000000000171e+01
2.002417063713073730e+01,4.000000000000000000e+01,4.138000000000000256e+01
2.101930093765258789e+01,4.000000000000000000e+01,4.163000000000000256e+01
2.201289415359497070e+01,4.000000000000000000e+01,4.179999999999999716e+01
2.301480484008789062e+01,4.000000000000000000e+01,4.235999999999999943e+01
2.401373624801635742e+01,4.000000000000000000e+01,4.275000000000000000e+01
2.501534438133239746e+01,4.000000000000000000e+01,4.296999999999999886e+01
2.601246213912963867e+01,4.000000000000000000e+01,4.332999999999999829e+01
2.700973010063171387e+01,4.000000000000000000e+01,4.372999999999999687e+01
2.800364995002746582e+01,4.000000000000000000e+01,4.425999999999999801e+01
2.899833631515502930e+01,4.000000000000000000e+01,4.447999999999999687e+01
2.999392580986022949e+01,4.000000000000000000e+01,4.479999999999999716e+01
3.099138545989990234e+01,4.000000000000000000e+01,4.528999999999999915e+01
3.198942828178405762e+01,4.000000000000000000e+01,4.567999999999999972e+01
3.299415755271911621e+01,4.000000000000000000e+01,4.621999999999999886e+01
3.399309706687927246e+01,4.000000000000000000e+01,4.660999999999999943e+01
3.498990988731384277e+01,4.000000000000000000e+01,4.678000000000000114e+01
3.598130702972412109e+01,4.000000000000000000e+01,4.724000000000000199e+01
3.698690700531005859e+01,4.000000000000000000e+01,4.772999999999999687e+01
3.798706150054931641e+01,4.000000000000000000e+01,4.767999999999999972e+01
3.898880958557128906e+01,4.000000000000000000e+01,4.821999999999999886e+01
3.998193860054016113e+01,4.000000000000000000e+01,4.871000000000000085e+01
4.097883152961730957e+01,4.000000000000000000e+01,4.879999999999999716e+01
4.197372007369995117e+01,4.000000000000000000e+01,4.917000000000000171e+01
4.296970200538635254e+01,4.000000000000000000e+01,4.965999999999999659e+01
4.396346974372863770e+01,4.000000000000000000e+01,5.017000000000000171e+01
4.495787072181701660e+01,4.000000000000000000e+01,5.059000000000000341e+01
4.596307706832885742e+01,4.000000000000000000e+01,5.111999999999999744e+01
4.695837831497192383e+01,4.000000000000000000e+01,5.121999999999999886e+01
4.795076513290405273e+01,4.000000000000000000e+01,5.164000000000000057e+01
4.894654273986816406e+01,4.000000000000000000e+01,5.207999999999999829e+01
4.994020199775695801e+01,4.000000000000000000e+01,5.250999999999999801e+01
5.093304657936096191e+01,4.000000000000000000e+01,5.297999999999999687e+01
5.192845892906188965e+01,4.000000000000000000e+01,5.310000000000000142e+01
5.292502355575561523e+01,4.000000000000000000e+01,5.359000000000000341e+01
5.392486834526062012e+01,4.000000000000000000e+01,5.407999999999999829e+01
5.492222285270690918e+01,4.000000000000000000e+01,5.425000000000000000e+01
5.591877627372741699e+01,4.000000000000000000e+01,5.449000000000000199e+01
5.691408157348632812e+01,4.000000000000000000e+01,5.496000000000000085e+01
5.791370153427124023e+01,4.000000000000000000e+01,5.504999999999999716e+01
5.890891194343566895e+01,4.000000000000000000e+01,5.549000000000000199e+01
5.990419745445251465e+01,4.000000000000000000e+01,5.603000000000000114e+01
6.090321493148803711e+01,4.000000000000000000e+01,5.646999999999999886e+01
6.189872193336486816e+01,4.000000000000000000e+01,5.674000000000000199e+01
6.289746928215026855e+01,4.000000000000000000e+01,5.710000000000000142e+01
6.388965392112731934e+01,4.000000000000000000e+01,5.750000000000000000e+01
