Time (sec),  Heater (%),  Temperature (C)
0.000000000000000000e+00,0.000000000000000000e+00,2.587999999999999901e+01
1.002617835998535156e+00,0.000000000000000000e+00,2.587999999999999901e+01
2.004547595977783203e+00,0.000000000000000000e+00,2.587999999999999901e+01
3.001048326492309570e+00,0.000000000000000000e+00,2.587999999999999901e+01
3.995108127593994141e+00,0.000000000000000000e+00,2.587999999999999901e+01
4.993321180343627930e+00,0.000000000000000000e+00,2.587999999999999901e+01
5.997455835342407227e+00,0.000000000000000000e+00,2.587999999999999901e+01
7.000621080398559570e+00,0.000000000000000000e+00,2.587999999999999901e+01
7.999158620834350586e+00,0.000000000000000000e+00,2.587999999999999901e+01
8.997540473937988281e+00,0.000000000000000000e+00,2.587999999999999901e+01
9.995614290237426758e+00,0.000000000000000000e+00,2.587999999999999901e+01
1.098903203010559082e+01,0.000000000000000000e+00,2.587999999999999901e+01
1.198460984230041504e+01,0.000000000000000000e+00,2.587999999999999901e+01
1.298129224777221680e+01,0.000000000000000000e+00,2.587999999999999901e+01
1.397842788696289062e+01,0.000000000000000000e+00,2.587999999999999901e+01
1.497373890876770020e+01,0.000000000000000000e+00,2.587999999999999901e+01
1.597497630119323730e+01,0.000000000000000000e+00,2.587999999999999901e+01
1.697084879875183105e+01,0.000000000000000000e+00,2.587999999999999901e+01
1.797655725479125977e+01,0.000000000000000000e+00,2.587999999999999901e+01
1.898210716247558594e+01,0.000000000000000000e+00,2.587999999999999901e+01
1.998489403724670410e+01,0.000000000000000000e+00,2.587999999999999901e+01
2.098491621017456055e+01,0.000000000000000000e+00,2.587999999999999901e+01
2.198101806640625000e+01,0.000000000000000000e+00,2.587999999999999901e+01
2.298330450057983398e+01,0.000000000000000000e+00,2.587999999999999901e+01
2.398730134963989258e+01,0.000000000000000000e+00,2.587999999999999901e+01
2.498810696601867676e+01,0.000000000000000000e+00,2.587999999999999901e+01
2.598983979225158691e+01,0.000000000000000000e+00,2.587999999999999901e+01
2.698760914802551270e+01,0.000000000000000000e+00,2.587999999999999901e+01
2.798947381973266602e+01,0.000000000000000000e+00,2.587999999999999901e+01
2.898793220520019531e+01,0.000000000000000000e+00,2.587999999999999901e+01
2.998802995681762695e+01,0.000000000000000000e+00,2.587999999999999901e+01
3.098896360397338867e+01,2.000000000000000000e+01,2.587999999999999901e+01
3.198843073844909668e+01,2.000000000000000000e+01,2.558999999999999986e+01
3.298731946945190430e+01,2.000000000000000000e+01,2.578000000000000114e+01
3.398786354064941406e+01,2.000000000000000000e+01,2.558999999999999986e+01
3.499019408226013184e+01,2.000000000000000000e+01,2.603000000000000114e+01
3.598037672042846680e+01,2.000000000000000000e+01,2.621999999999999886e+01
3.697202849388122559e+01,2.000000000000000000e+01,2.621999999999999886e+01
3.796976065635681152e+01,2.000000000000000000e+01,2.637000000000000099e+01
3.896755838394165039e+01,2.000000000000000000e+01,2.671000000000000085e+01
3.996687602996826172e+01,2.000000000000000000e+01,2.676000000000000156e+01
4.096935224533081055e+01,2.000000000000000000e+01,2.710000000000000142e+01
4.196900677680969238e+01,2.000000000000000000e+01,2.719999999999999929e+01
4.296309757232666016e+01,2.000000000000000000e+01,2.719999999999999929e+01
4.396026015281677246e+01,2.000000000000000000e+01,2.769000000000000128e+01
4.496191906929016113e+01,2.000000000000000000e+01,2.769000000000000128e+01
4.595984578132629395e+01,2.000000000000000000e+01,2.798000000000000043e+01
4.696222209930419922e+01,2.000000000000000000e+01,2.821999999999999886e+01
4.795329070091247559e+01,2.000000000000000000e+01,2.842000000000000171e+01
4.895545578002929688e+01,2.000000000000000000e+01,2.871000000000000085e+01
4.995641112327575684e+01,2.000000000000000000e+01,2.878000000000000114e+01
5.095375967025756836e+01,2.000000000000000000e+01,2.905000000000000071e+01
5.194853067398071289e+01,2.000000000000000000e+01,2.903000000000000114e+01
5.295026731491088867e+01,2.000000000000000000e+01,2.964000000000000057e+01
5.395052647590637207e+01,2.000000000000000000e+01,2.953999999999999915e+01
5.494356656074523926e+01,2.000000000000000000e+01,3.017999999999999972e+01
5.593397116661071777e+01,2.000000000000000000e+01,3.017999999999999972e+01
5.692968010902404785e+01,2.000000000000000000e+01,3.066000000000000014e+01
5.792482280731201172e+01,2.000000000000000000e+01,3.066000000000000014e+01
5.891828036308288574e+01,2.000000000000000000e+01,3.098000000000000043e+01
5.991224694252014160e+01,2.000000000000000000e+01,3.101000000000000156e+01
6.091196393966674805e+01,2.000000000000000000e+01,3.151999999999999957e+01
6.190470647811889648e+01,2.000000000000000000e+01,3.164000000000000057e+01
6.290355443954467773e+01,2.000000000000000000e+01,3.185999999999999943e+01
6.390946245193481445e+01,2.000000000000000000e+01,3.213000000000000256e+01
6.490878915786743164e+01,2.000000000000000000e+01,3.228000000000000114e+01
6.590977048873901367e+01,2.000000000000000000e+01,3.257000000000000028e+01
6.690718340873718262e+01,2.000000000000000000e+01,3.290999999999999659e+01
6.790466165542602539e+01,2.000000000000000000e+01,3.310999999999999943e+01
6.890130186080932617e+01,2.000000000000000000e+01,3.310999999999999943e+01
6.989901971817016602e+01,2.000000000000000000e+01,3.353999999999999915e+01
7.089770579338073730e+01,2.000000000000000000e+01,3.361999999999999744e+01
7.189152050018310547e+01,2.000000000000000000e+01,3.403000000000000114e+01
7.288912010192871094e+01,2.000000000000000000e+01,3.406000000000000227e+01
7.388876199722290039e+01,2.000000000000000000e+01,3.457000000000000028e+01
7.488713741302490234e+01,2.000000000000000000e+01,3.454999999999999716e+01
7.588547945022583008e+01,2.000000000000000000e+01,3.506000000000000227e+01
7.689185142517089844e+01,2.000000000000000000e+01,3.500999999999999801e+01
7.789613986015319824e+01,2.000000000000000000e+01,3.550000000000000000e+01
7.889789628982543945e+01,2.000000000000000000e+01,3.550000000000000000e+01
7.989446496963500977e+01,2.000000000000000000e+01,3.585999999999999943e+01
8.089510107040405273e+01,2.000000000000000000e+01,3.603999999999999915e+01
8.189386606216430664e+01,2.000000000000000000e+01,3.639999999999999858e+01
8.289219331741333008e+01,2.000000000000000000e+01,3.652000000000000313e+01
8.388778185844421387e+01,2.000000000000000000e+01,3.682000000000000028e+01
8.488257241249084473e+01,2.000000000000000000e+01,3.700999999999999801e+01
8.587775039672851562e+01,2.000000000000000000e+01,3.715999999999999659e+01
8.687670135498046875e+01,2.000000000000000000e+01,3.745000000000000284e+01
8.787202978134155273e+01,2.000000000000000000e+01,3.752000000000000313e+01
8.886902117729187012e+01,2.000000000000000000e+01,3.793999999999999773e+01
8.986614537239074707e+01,2.000000000000000000e+01,3.778999999999999915e+01
9.086455559730529785e+01,2.000000000000000000e+01,3.842999999999999972e+01
9.185925006866455078e+01,2.000000000000000000e+01,3.842999999999999972e+01
9.285718011856079102e+01,2.000000000000000000e+01,3.854999999999999716e+01
9.385917544364929199e+01,2.000000000000000000e+01,3.878999999999999915e+01
9.485571885108947754e+01,2.000000000000000000e+01,3.917999999999999972e+01
9.584844398498535156e+01,2.000000000000000000e+01,3.931000000000000227e+01
9.684720945358276367e+01,2.000000000000000000e+01,3.961999999999999744e+01
9.784680676460266113e+01,2.000000000000000000e+01,3.993999999999999773e+01
9.884197926521301270e+01,2.000000000000000000e+01,4.000999999999999801e+01
9.984494924545288086e+01,2.000000000000000000e+01,4.031000000000000227e+01
1.008446018695831299e+02,2.000000000000000000e+01,4.038000000000000256e+01
1.018427538871765137e+02,2.000000000000000000e+01,4.079999999999999716e+01
1.028420126438140869e+02,2.000000000000000000e+01,4.092000000000000171e+01
1.038448734283447266e+02,2.000000000000000000e+01,4.135999999999999943e+01
1.048479442596435547e+02,2.000000000000000000e+01,4.135999999999999943e+01
1.058439943790435791e+02,2.000000000000000000e+01,4.160000000000000142e+01
1.068472049236297607e+02,2.000000000000000000e+01,4.189000000000000057e+01
1.078467741012573242e+02,2.000000000000000000e+01,4.202000000000000313e+01
1.088466961383819580e+02,2.000000000000000000e+01,4.228999999999999915e+01
1.098481054306030273e+02,2.000000000000000000e+01,4.231000000000000227e+01
1.108468871116638184e+02,2.000000000000000000e+01,4.282000000000000028e+01
1.118445868492126465e+02,2.000000000000000000e+01,4.282000000000000028e+01
1.128467640876770020e+02,2.000000000000000000e+01,4.321000000000000085e+01
1.138470156192779541e+02,2.000000000000000000e+01,4.331000000000000227e+01
1.148477022647857666e+02,2.000000000000000000e+01,4.360000000000000142e+01
1.158459308147430420e+02,2.000000000000000000e+01,4.385000000000000142e+01
1.168432557582855225e+02,2.000000000000000000e+01,4.382000000000000028e+01
1.178430836200714111e+02,2.000000000000000000e+01,4.418999999999999773e+01
1.188435962200164795e+02,2.000000000000000000e+01,4.434000000000000341e+01
1.198347125053405762e+02,2.000000000000000000e+01,4.470000000000000284e+01
1.208318982124328613e+02,2.000000000000000000e+01,4.478000000000000114e+01
1.218297989368438721e+02,2.000000000000000000e+01,4.479999999999999716e+01
1.228314914703369141e+02,2.000000000000000000e+01,4.531000000000000227e+01
1.238327863216400146e+02,2.000000000000000000e+01,4.525999999999999801e+01
1.248308930397033691e+02,2.000000000000000000e+01,4.546000000000000085e+01
1.258320040702819824e+02,2.000000000000000000e+01,4.570000000000000284e+01
1.268304374217987061e+02,2.000000000000000000e+01,4.602000000000000313e+01
1.278307287693023682e+02,2.000000000000000000e+01,4.624000000000000199e+01
1.288298349380493164e+02,2.000000000000000000e+01,4.614000000000000057e+01
1.298292384147644043e+02,2.000000000000000000e+01,4.665999999999999659e+01
1.308299303054809570e+02,2.000000000000000000e+01,4.678000000000000114e+01
1.318348493576049805e+02,2.000000000000000000e+01,4.670000000000000284e+01
1.328307876586914062e+02,2.000000000000000000e+01,4.704999999999999716e+01
1.338313345909118652e+02,2.000000000000000000e+01,4.721999999999999886e+01
1.348343782424926758e+02,2.000000000000000000e+01,4.757999999999999829e+01
1.358362834453582764e+02,2.000000000000000000e+01,4.771000000000000085e+01
1.368317878246307373e+02,2.000000000000000000e+01,4.785000000000000142e+01
1.378296759128570557e+02,2.000000000000000000e+01,4.811999999999999744e+01
1.388320240974426270e+02,2.000000000000000000e+01,4.818999999999999773e+01
1.398291652202606201e+02,2.000000000000000000e+01,4.865999999999999659e+01
1.408218543529510498e+02,2.000000000000000000e+01,4.850999999999999801e+01
1.418224918842315674e+02,2.000000000000000000e+01,4.878000000000000114e+01
1.428237361907958984e+02,2.000000000000000000e+01,4.888000000000000256e+01
1.438159234523773193e+02,2.000000000000000000e+01,4.921999999999999886e+01
1.448148777484893799e+02,2.000000000000000000e+01,4.939000000000000057e+01
1.458171010017395020e+02,2.000000000000000000e+01,4.946000000000000085e+01
1.468100125789642334e+02,2.000000000000000000e+01,4.971000000000000085e+01
1.478104617595672607e+02,2.000000000000000000e+01,5.007000000000000028e+01
1.488053250312805176e+02,2.000000000000000000e+01,5.020000000000000284e+01
1.497980206012725830e+02,2.000000000000000000e+01,5.032000000000000028e+01
1.507955393791198730e+02,2.000000000000000000e+01,5.063000000000000256e+01
1.517935461997985840e+02,2.000000000000000000e+01,5.067999999999999972e+01
1.527921562194824219e+02,2.000000000000000000e+01,5.072999999999999687e+01
1.537900664806365967e+02,2.000000000000000000e+01,5.110000000000000142e+01
1.547864565849304199e+02,2.000000000000000000e+01,5.117000000000000171e+01
1.557819540500640869e+02,2.000000000000000000e+01,5.153999999999999915e+01
1.567780730724334717e+02,2.000000000000000000e+01,5.156000000000000227e+01
1.577762150764465332e+02,2.000000000000000000e+01,5.165999999999999659e+01
1.587738578319549561e+02,2.000000000000000000e+01,5.210000000000000142e+01
1.597794396877288818e+02,2.000000000000000000e+01,5.210000000000000142e+01
1.607705602645874023e+02,2.000000000000000000e+01,5.211999999999999744e+01
1.617689127922058105e+02,2.000000000000000000e+01,5.259000000000000341e+01
1.627680683135986328e+02,2.000000000000000000e+01,5.264000000000000057e+01
1.637647330760955811e+02,2.000000000000000000e+01,5.260999999999999943e+01
1.647617843151092529e+02,2.000000000000000000e+01,5.300000000000000000e+01
1.657575204372406006e+02,2.000000000000000000e+01,5.313000000000000256e+01
1.667496199607849121e+02,2.000000000000000000e+01,5.329999999999999716e+01
1.677422361373901367e+02,2.000000000000000000e+01,5.356000000000000227e+01
1.687390470504760742e+02,2.000000000000000000e+01,5.356000000000000227e+01
1.697351546287536621e+02,2.000000000000000000e+01,5.365999999999999659e+01
1.707311041355133057e+02,2.000000000000000000e+01,5.404999999999999716e+01
1.717307643890380859e+02,2.000000000000000000e+01,5.410000000000000142e+01
1.727287704944610596e+02,2.000000000000000000e+01,5.420000000000000284e+01
1.737271232604980469e+02,2.000000000000000000e+01,5.427000000000000313e+01
1.747198460102081299e+02,2.000000000000000000e+01,5.449000000000000199e+01
1.757224588394165039e+02,2.000000000000000000e+01,5.459000000000000341e+01
1.767217962741851807e+02,2.000000000000000000e+01,5.496000000000000085e+01
1.777218661308288574e+02,2.000000000000000000e+01,5.488000000000000256e+01
1.787197570800781250e+02,2.000000000000000000e+01,5.513000000000000256e+01
1.797189788818359375e+02,2.000000000000000000e+01,5.543999999999999773e+01
1.807174568176269531e+02,2.000000000000000000e+01,5.552000000000000313e+01
1.817138836383819580e+02,2.000000000000000000e+01,5.568999999999999773e+01
1.827093183994293213e+02,2.000000000000000000e+01,5.600999999999999801e+01
1.837049057483673096e+02,2.000000000000000000e+01,5.585999999999999943e+01
1.847038805484771729e+02,2.000000000000000000e+01,5.592999999999999972e+01
1.857024259567260742e+02,2.000000000000000000e+01,5.635000000000000142e+01
1.866975040435791016e+02,2.000000000000000000e+01,5.639999999999999858e+01
1.876953761577606201e+02,2.000000000000000000e+01,5.661999999999999744e+01
1.886920533180236816e+02,2.000000000000000000e+01,5.684000000000000341e+01
1.896854302883148193e+02,2.000000000000000000e+01,5.671000000000000085e+01
1.906840488910675049e+02,2.000000000000000000e+01,5.703000000000000114e+01
1.916756064891815186e+02,2.000000000000000000e+01,5.736999999999999744e+01
1.926762492656707764e+02,2.000000000000000000e+01,5.746999999999999886e+01
1.936761136054992676e+02,2.000000000000000000e+01,5.752000000000000313e+01
1.946718168258666992e+02,2.000000000000000000e+01,5.771000000000000085e+01
1.956707644462585449e+02,2.000000000000000000e+01,5.796000000000000085e+01
1.966633625030517578e+02,2.000000000000000000e+01,5.785999999999999943e+01
1.976579210758209229e+02,2.000000000000000000e+01,5.803000000000000114e+01
1.986521844863891602e+02,2.000000000000000000e+01,5.836999999999999744e+01
1.996520724296569824e+02,2.000000000000000000e+01,5.846999999999999886e+01
2.006460201740264893e+02,2.000000000000000000e+01,5.850000000000000000e+01
2.016444113254547119e+02,2.000000000000000000e+01,5.864000000000000057e+01
2.026411781311035156e+02,2.000000000000000000e+01,5.885999999999999943e+01
2.036378884315490723e+02,2.000000000000000000e+01,5.897999999999999687e+01
2.046348278522491455e+02,2.000000000000000000e+01,5.897999999999999687e+01
2.056329467296600342e+02,2.000000000000000000e+01,5.935000000000000142e+01
2.066275451183319092e+02,2.000000000000000000e+01,5.917999999999999972e+01
2.076301767826080322e+02,2.000000000000000000e+01,5.942000000000000171e+01
2.086303086280822754e+02,2.000000000000000000e+01,5.961999999999999744e+01
2.096291737556457520e+02,2.000000000000000000e+01,5.990999999999999659e+01
2.106263177394866943e+02,2.000000000000000000e+01,5.978999999999999915e+01
2.116231226921081543e+02,2.000000000000000000e+01,5.996000000000000085e+01
2.126223964691162109e+02,2.000000000000000000e+01,6.022999999999999687e+01
2.136218328475952148e+02,2.000000000000000000e+01,6.017999999999999972e+01
2.146191632747650146e+02,2.000000000000000000e+01,6.038000000000000256e+01
2.156186673641204834e+02,2.000000000000000000e+01,6.042000000000000171e+01
2.166205885410308838e+02,2.000000000000000000e+01,6.085999999999999943e+01
2.176209323406219482e+02,2.000000000000000000e+01,6.090999999999999659e+01
2.186181600093841553e+02,2.000000000000000000e+01,6.093999999999999773e+01
2.196160049438476562e+02,2.000000000000000000e+01,6.099000000000000199e+01
2.206120958328247070e+02,2.000000000000000000e+01,6.129999999999999716e+01
2.216108031272888184e+02,2.000000000000000000e+01,6.129999999999999716e+01
2.226097214221954346e+02,2.000000000000000000e+01,6.138000000000000256e+01
2.236115446090698242e+02,2.000000000000000000e+01,6.164999999999999858e+01
2.246149759292602539e+02,2.000000000000000000e+01,6.164999999999999858e+01
2.256142637729644775e+02,2.000000000000000000e+01,6.186999999999999744e+01
2.266168212890625000e+02,2.000000000000000000e+01,6.182000000000000028e+01
2.276151061058044434e+02,2.000000000000000000e+01,6.221000000000000085e+01
2.286138782501220703e+02,2.000000000000000000e+01,6.228000000000000114e+01
2.296044015884399414e+02,2.000000000000000000e+01,6.235000000000000142e+01
2.306047410964965820e+02,2.000000000000000000e+01,6.239999999999999858e+01
2.316022927761077881e+02,2.000000000000000000e+01,6.247999999999999687e+01
2.325999267101287842e+02,2.000000000000000000e+01,6.261999999999999744e+01
2.336009709835052490e+02,2.000000000000000000e+01,6.284000000000000341e+01
2.345978987216949463e+02,2.000000000000000000e+01,6.274000000000000199e+01
2.355925803184509277e+02,2.000000000000000000e+01,6.286999999999999744e+01
2.365928618907928467e+02,2.000000000000000000e+01,6.332999999999999829e+01
2.375915186405181885e+02,2.000000000000000000e+01,6.322999999999999687e+01
2.385923862457275391e+02,2.000000000000000000e+01,6.315999999999999659e+01
2.395909426212310791e+02,2.000000000000000000e+01,6.332999999999999829e+01
2.405965900421142578e+02,2.000000000000000000e+01,6.364999999999999858e+01
2.415980434417724609e+02,2.000000000000000000e+01,6.382000000000000028e+01
2.425968809127807617e+02,2.000000000000000000e+01,6.375000000000000000e+01
2.435924992561340332e+02,2.000000000000000000e+01,6.382000000000000028e+01
2.445921452045440674e+02,2.000000000000000000e+01,6.399000000000000199e+01
2.455945196151733398e+02,2.000000000000000000e+01,6.423000000000000398e+01
2.465955934524536133e+02,2.000000000000000000e+01,6.423000000000000398e+01
2.475939216613769531e+02,2.000000000000000000e+01,6.431000000000000227e+01
2.485971558094024658e+02,2.000000000000000000e+01,6.453000000000000114e+01
2.495947329998016357e+02,2.000000000000000000e+01,6.479000000000000625e+01
2.505907883644104004e+02,2.000000000000000000e+01,6.471999999999999886e+01
2.515873055458068848e+02,2.000000000000000000e+01,6.484000000000000341e+01
2.525868959426879883e+02,2.000000000000000000e+01,6.498999999999999488e+01
2.535847353935241699e+02,2.000000000000000000e+01,6.520999999999999375e+01
2.545756816864013672e+02,2.000000000000000000e+01,6.520999999999999375e+01
2.555793855190277100e+02,2.000000000000000000e+01,6.532999999999999829e+01
2.565806972980499268e+02,2.000000000000000000e+01,6.531000000000000227e+01
2.575801928043365479e+02,2.000000000000000000e+01,6.554999999999999716e+01
2.585801265239715576e+02,2.000000000000000000e+01,6.562999999999999545e+01
2.595794842243194580e+02,2.000000000000000000e+01,6.576999999999999602e+01
2.605751280784606934e+02,2.000000000000000000e+01,6.592000000000000171e+01
2.615719914436340332e+02,2.000000000000000000e+01,6.623999999999999488e+01
2.625723919868469238e+02,2.000000000000000000e+01,6.618999999999999773e+01
2.635687696933746338e+02,2.000000000000000000e+01,6.626000000000000512e+01
2.645641214847564697e+02,2.000000000000000000e+01,6.626000000000000512e+01
2.655591919422149658e+02,2.000000000000000000e+01,6.640999999999999659e+01
2.665589170455932617e+02,2.000000000000000000e+01,6.654999999999999716e+01
2.675558202266693115e+02,2.000000000000000000e+01,6.675000000000000000e+01
2.685529160499572754e+02,2.000000000000000000e+01,6.667000000000000171e+01
2.695483427047729492e+02,2.000000000000000000e+01,6.670000000000000284e+01
2.705484108924865723e+02,2.000000000000000000e+01,6.684999999999999432e+01
2.715470814704895020e+02,2.000000000000000000e+01,6.714000000000000057e+01
2.725480570793151855e+02,2.000000000000000000e+01,6.723999999999999488e+01
2.735447952747344971e+02,2.000000000000000000e+01,6.723999999999999488e+01
2.745492136478424072e+02,2.000000000000000000e+01,6.729000000000000625e+01
2.755426771640777588e+02,2.000000000000000000e+01,6.737999999999999545e+01
2.765409991741180420e+02,2.000000000000000000e+01,6.740999999999999659e+01
2.775386939048767090e+02,2.000000000000000000e+01,6.757999999999999829e+01
2.785330746173858643e+02,2.000000000000000000e+01,6.771999999999999886e+01
2.795287454128265381e+02,2.000000000000000000e+01,6.776999999999999602e+01
2.805196707248687744e+02,2.000000000000000000e+01,6.790000000000000568e+01
2.815232758522033691e+02,2.000000000000000000e+01,6.820999999999999375e+01
2.825188045501708984e+02,2.000000000000000000e+01,6.814000000000000057e+01
2.835188975334167480e+02,2.000000000000000000e+01,6.826000000000000512e+01
2.845180711746215820e+02,2.000000000000000000e+01,6.831000000000000227e+01
2.855191419124603271e+02,2.000000000000000000e+01,6.843000000000000682e+01
2.865162792205810547e+02,2.000000000000000000e+01,6.862999999999999545e+01
2.875201539993286133e+02,2.000000000000000000e+01,6.845999999999999375e+01
2.885188822746276855e+02,2.000000000000000000e+01,6.870000000000000284e+01
2.895228855609893799e+02,2.000000000000000000e+01,6.892000000000000171e+01
2.905193059444427490e+02,2.000000000000000000e+01,6.912000000000000455e+01
2.915194764137268066e+02,2.000000000000000000e+01,6.890000000000000568e+01
2.925179698467254639e+02,2.000000000000000000e+01,6.898999999999999488e+01
2.935185120105743408e+02,2.000000000000000000e+01,6.923999999999999488e+01
2.945232489109039307e+02,2.000000000000000000e+01,6.943000000000000682e+01
2.955176601409912109e+02,2.000000000000000000e+01,6.937999999999999545e+01
2.965187911987304688e+02,2.000000000000000000e+01,6.959999999999999432e+01
2.975205562114715576e+02,2.000000000000000000e+01,6.968000000000000682e+01
2.985136916637420654e+02,2.000000000000000000e+01,6.973000000000000398e+01
2.995134305953979492e+02,2.000000000000000000e+01,6.984999999999999432e+01
3.005169305801391602e+02,2.000000000000000000e+01,7.009000000000000341e+01
3.015100600719451904e+02,2.000000000000000000e+01,7.001999999999999602e+01
3.025095179080963135e+02,2.000000000000000000e+01,7.018999999999999773e+01
3.035137670040130615e+02,2.000000000000000000e+01,7.006999999999999318e+01
3.045056426525115967e+02,2.000000000000000000e+01,7.029000000000000625e+01
3.055018179416656494e+02,2.000000000000000000e+01,7.056000000000000227e+01
3.065007326602935791e+02,2.000000000000000000e+01,7.051000000000000512e+01
3.075011985301971436e+02,2.000000000000000000e+01,7.065000000000000568e+01
3.085007815361022949e+02,2.000000000000000000e+01,7.065000000000000568e+01
3.095013983249664307e+02,2.000000000000000000e+01,7.073000000000000398e+01
3.105055403709411621e+02,2.000000000000000000e+01,7.096999999999999886e+01
3.115028185844421387e+02,2.000000000000000000e+01,7.106999999999999318e+01
3.125031316280364990e+02,2.000000000000000000e+01,7.092000000000000171e+01
3.135034077167510986e+02,2.000000000000000000e+01,7.117000000000000171e+01
3.145000066757202148e+02,2.000000000000000000e+01,7.096999999999999886e+01
3.155046474933624268e+02,2.000000000000000000e+01,7.140999999999999659e+01
3.165007896423339844e+02,2.000000000000000000e+01,7.145999999999999375e+01
3.175027523040771484e+02,2.000000000000000000e+01,7.140999999999999659e+01
3.185049135684967041e+02,2.000000000000000000e+01,7.160999999999999943e+01
3.195059289932250977e+02,2.000000000000000000e+01,7.170000000000000284e+01
3.205042612552642822e+02,2.000000000000000000e+01,7.182999999999999829e+01
3.214992439746856689e+02,2.000000000000000000e+01,7.200000000000000000e+01
3.225058004856109619e+02,2.000000000000000000e+01,7.182999999999999829e+01
3.235024809837341309e+02,2.000000000000000000e+01,7.212000000000000455e+01
3.244984149932861328e+02,2.000000000000000000e+01,7.209000000000000341e+01
3.254959583282470703e+02,2.000000000000000000e+01,7.221999999999999886e+01
3.264913706779479980e+02,2.000000000000000000e+01,7.245999999999999375e+01
3.274818379878997803e+02,2.000000000000000000e+01,7.253000000000000114e+01
3.284738430976867676e+02,2.000000000000000000e+01,7.260999999999999943e+01
3.294719626903533936e+02,2.000000000000000000e+01,7.253000000000000114e+01
3.304723675251007080e+02,2.000000000000000000e+01,7.248999999999999488e+01
3.314732584953308105e+02,2.000000000000000000e+01,7.275000000000000000e+01
3.324671583175659180e+02,2.000000000000000000e+01,7.300000000000000000e+01
3.334720375537872314e+02,2.000000000000000000e+01,7.301999999999999602e+01
3.344690082073211670e+02,2.000000000000000000e+01,7.309999999999999432e+01
3.354734458923339844e+02,2.000000000000000000e+01,7.304999999999999716e+01
3.364762554168701172e+02,2.000000000000000000e+01,7.314000000000000057e+01
3.374724025726318359e+02,2.000000000000000000e+01,7.329000000000000625e+01
3.384720427989959717e+02,2.000000000000000000e+01,7.348999999999999488e+01
3.394693026542663574e+02,2.000000000000000000e+01,7.357999999999999829e+01
3.404723582267761230e+02,2.000000000000000000e+01,7.357999999999999829e+01
3.414713883399963379e+02,2.000000000000000000e+01,7.354000000000000625e+01
3.424650444984436035e+02,2.000000000000000000e+01,7.362999999999999545e+01
3.434616746902465820e+02,2.000000000000000000e+01,7.378000000000000114e+01
3.444587347507476807e+02,2.000000000000000000e+01,7.396999999999999886e+01
3.454567325115203857e+02,2.000000000000000000e+01,7.406999999999999318e+01
3.464555697441101074e+02,2.000000000000000000e+01,7.400000000000000000e+01
3.474558835029602051e+02,2.000000000000000000e+01,7.384999999999999432e+01
3.484525995254516602e+02,2.000000000000000000e+01,7.400000000000000000e+01
3.494540932178497314e+02,2.000000000000000000e+01,7.439000000000000057e+01
3.504495172500610352e+02,2.000000000000000000e+01,7.454000000000000625e+01
3.514418385028839111e+02,2.000000000000000000e+01,7.448999999999999488e+01
3.524403262138366699e+02,2.000000000000000000e+01,7.440999999999999659e+01
3.534381964206695557e+02,2.000000000000000000e+01,7.454000000000000625e+01
3.544364974498748779e+02,2.000000000000000000e+01,7.448999999999999488e+01
3.554352941513061523e+02,2.000000000000000000e+01,7.473000000000000398e+01
3.564333274364471436e+02,2.000000000000000000e+01,7.493000000000000682e+01
3.574297056198120117e+02,2.000000000000000000e+01,7.504999999999999716e+01
3.584347164630889893e+02,2.000000000000000000e+01,7.476000000000000512e+01
3.594341139793395996e+02,2.000000000000000000e+01,7.487999999999999545e+01
3.604295098781585693e+02,2.000000000000000000e+01,7.501999999999999602e+01
3.614293215274810791e+02,2.000000000000000000e+01,7.509999999999999432e+01
3.624255247116088867e+02,2.000000000000000000e+01,7.521999999999999886e+01
3.634235012531280518e+02,2.000000000000000000e+01,7.523999999999999488e+01
3.644230663776397705e+02,2.000000000000000000e+01,7.554000000000000625e+01
3.654222805500030518e+02,2.000000000000000000e+01,7.545999999999999375e+01
3.664206480979919434e+02,2.000000000000000000e+01,7.542000000000000171e+01
3.674256587028503418e+02,2.000000000000000000e+01,7.539000000000000057e+01
3.684252321720123291e+02,2.000000000000000000e+01,7.543999999999999773e+01
3.694275822639465332e+02,2.000000000000000000e+01,7.582999999999999829e+01
3.704256479740142822e+02,2.000000000000000000e+01,7.595000000000000284e+01
