Tiempo (sec), Calentador 1 (%), Temperatura 1 (degC),Referencia 
0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
2.600000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
5.200000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
7.800000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.040000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.300000000000000000e+02,2.297734462555966672e+01,2.500000000000000000e+01,4.000000000000000000e+01
1.560000000000000000e+02,1.714841506069818422e+01,2.880522401077024597e+01,4.000000000000000000e+01
1.820000000000000000e+02,1.374171979019816447e+01,3.102917242126920883e+01,4.000000000000000000e+01
2.080000000000000000e+02,1.175574422868706925e+01,3.232565092686331809e+01,4.000000000000000000e+01
2.340000000000000000e+02,1.059973352395653734e+01,3.308031430740334145e+01,4.000000000000000000e+01
2.600000000000000000e+02,9.927427844678121005e+00,3.351920684931866390e+01,4.000000000000000000e+01
2.860000000000000000e+02,9.536633852329327254e+00,3.377432379084336844e+01,4.000000000000000000e+01
3.120000000000000000e+02,9.309543589756078319e+00,3.392257216305995371e+01,4.000000000000000000e+01
3.380000000000000000e+02,9.177604582884422157e+00,3.400870418289628105e+01,4.000000000000000000e+01
3.640000000000000000e+02,9.100956067168503694e+00,3.405874163302269153e+01,4.000000000000000000e+01
3.900000000000000000e+02,9.056430586192112386e+00,3.408780862163820302e+01,4.000000000000000000e+01
4.160000000000000000e+02,9.030566414518998997e+00,3.410469319126184473e+01,4.000000000000000000e+01
4.420000000000000000e+02,9.015542612114227694e+00,3.411450098410057308e+01,4.000000000000000000e+01
4.680000000000000000e+02,9.006815790120707987e+00,3.412019800140330972e+01,4.000000000000000000e+01
4.940000000000000000e+02,9.001746706596170711e+00,3.412350718504080760e+01,4.000000000000000000e+01
5.200000000000000000e+02,8.998802277654583293e+00,3.412542935815713463e+01,4.000000000000000000e+01
5.460000000000000000e+02,8.997091979918407034e+00,3.412654586950606017e+01,4.000000000000000000e+01
5.720000000000000000e+02,8.996098539555402951e+00,3.412719440421221861e+01,4.000000000000000000e+01
5.980000000000000000e+02,8.995521492070988501e+00,3.412757111059005410e+01,4.000000000000000000e+01
6.240000000000000000e+02,8.995186309746092235e+00,3.412778992329253924e+01,4.000000000000000000e+01
6.500000000000000000e+02,8.994991616649542721e+00,3.412791702224569690e+01,4.000000000000000000e+01
6.760000000000000000e+02,8.994878527762566023e+00,3.412799084858778542e+01,4.000000000000000000e+01
7.020000000000000000e+02,8.994812839272851690e+00,3.412803373114718397e+01,4.000000000000000000e+01
7.280000000000000000e+02,8.994774683646692637e+00,3.412805863978661591e+01,4.000000000000000000e+01
7.540000000000000000e+02,8.994752520680597385e+00,3.412807310814650918e+01,4.000000000000000000e+01
7.800000000000000000e+02,8.994739647164692542e+00,3.412808151219587671e+01,4.000000000000000000e+01
8.060000000000000000e+02,8.994732169491966189e+00,3.412808639374736686e+01,4.000000000000000000e+01
8.320000000000000000e+02,8.994727826032956841e+00,3.412808922923102273e+01,4.000000000000000000e+01
8.580000000000000000e+02,8.994725303104010194e+00,3.412809087624179938e+01,4.000000000000000000e+01
8.840000000000000000e+02,8.994723837642874642e+00,3.412809183291966519e+01,4.000000000000000000e+01
9.100000000000000000e+02,8.994722986419535715e+00,3.412809238861268568e+01,4.000000000000000000e+01
9.360000000000000000e+02,8.994722491980311929e+00,3.412809271139099110e+01,4.000000000000000000e+01
9.620000000000000000e+02,8.994722204781780306e+00,3.412809289887906061e+01,4.000000000000000000e+01
