Tiempo (sec), Calentador 1 (%), Temperatura 1 (degC),Referencia 
0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
2.600000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
5.200000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
7.800000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.040000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.300000000000000000e+02,1.953794539416936971e+01,2.500000000000000000e+01,4.000000000000000000e+01
1.560000000000000000e+02,1.532309787040077254e+01,2.823589362039041362e+01,4.000000000000000000e+01
1.820000000000000000e+02,1.269861170539264172e+01,3.025080827394810967e+01,4.000000000000000000e+01
2.080000000000000000e+02,1.106794613329464383e+01,3.150273026922451436e+01,4.000000000000000000e+01
2.340000000000000000e+02,1.005615019858129422e+01,3.227952325919926579e+01,4.000000000000000000e+01
2.600000000000000000e+02,9.428886159595226246e+00,3.276109695566373148e+01,4.000000000000000000e+01
2.860000000000000000e+02,9.040219754476106928e+00,3.305949046425274673e+01,4.000000000000000000e+01
3.120000000000000000e+02,8.799473161166890378e+00,3.324432048740942491e+01,4.000000000000000000e+01
3.380000000000000000e+02,8.650381186518700360e+00,3.335878388540777451e+01,4.000000000000000000e+01
3.640000000000000000e+02,8.558061741686373125e+00,3.342966092209445605e+01,4.000000000000000000e+01
3.900000000000000000e+02,8.500900994480474537e+00,3.347354533218930328e+01,4.000000000000000000e+01
4.160000000000000000e+02,8.465510924375394097e+00,3.350071559195134796e+01,4.000000000000000000e+01
4.420000000000000000e+02,8.443600447639799000e+00,3.351753707161071816e+01,4.000000000000000000e+01
4.680000000000000000e+02,8.430035625417733769e+00,3.352795128504135391e+01,4.000000000000000000e+01
4.940000000000000000e+02,8.421637712735982717e+00,3.353439867178980194e+01,4.000000000000000000e+01
5.200000000000000000e+02,8.416438644850110506e+00,3.353839018761783564e+01,4.000000000000000000e+01
5.460000000000000000e+02,8.413219965653169652e+00,3.354086128613818119e+01,4.000000000000000000e+01
5.720000000000000000e+02,8.411227326297296969e+00,3.354239110873390928e+01,4.000000000000000000e+01
5.980000000000000000e+02,8.409993713189843234e+00,3.354333819893395230e+01,4.000000000000000000e+01
6.240000000000000000e+02,8.409230002620619260e+00,3.354392452765517874e+01,4.000000000000000000e+01
6.500000000000000000e+02,8.408757201668096926e+00,3.354428751435335698e+01,4.000000000000000000e+01
6.760000000000000000e+02,8.408464498307425927e+00,3.354451223349968814e+01,4.000000000000000000e+01
7.020000000000000000e+02,8.408283290474980021e+00,3.354465135342411486e+01,4.000000000000000000e+01
7.280000000000000000e+02,8.408171107706349900e+00,3.354473748026578050e+01,4.000000000000000000e+01
7.540000000000000000e+02,8.408101657217082803e+00,3.354479079996332302e+01,4.000000000000000000e+01
7.800000000000000000e+02,8.408058661576585990e+00,3.354482380929948704e+01,4.000000000000000000e+01
8.060000000000000000e+02,8.408032043692907465e+00,3.354484424482876648e+01,4.000000000000000000e+01
8.320000000000000000e+02,8.408015565005761971e+00,3.354485689612357646e+01,4.000000000000000000e+01
8.580000000000000000e+02,8.408005363325926851e+00,3.354486472832877553e+01,4.000000000000000000e+01
8.840000000000000000e+02,8.407999047636442569e+00,3.354486957711611694e+01,4.000000000000000000e+01
9.100000000000000000e+02,8.407995137698742738e+00,3.354487257891923946e+01,4.000000000000000000e+01
9.360000000000000000e+02,8.407992717121727466e+00,3.354487443728532980e+01,4.000000000000000000e+01
9.620000000000000000e+02,8.407991218582939297e+00,3.354487558776872902e+01,4.000000000000000000e+01
