Tiempo (sec), Calentador 1 (%), Temperatura 1 (degC),Referencia 
0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
2.600000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
5.200000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
7.800000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.040000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.300000000000000000e+02,2.626673633317603773e+01,2.500000000000000000e+01,4.000000000000000000e+01
1.560000000000000000e+02,3.466192850593263586e+01,2.934963701880150211e+01,4.000000000000000000e+01
1.820000000000000000e+02,3.722495380925138164e+01,3.437832704053266752e+01,4.000000000000000000e+01
2.080000000000000000e+02,3.514545162049773097e+01,3.899276612656831276e+01,4.000000000000000000e+01
2.340000000000000000e+02,3.011191297945919487e+01,4.248123978662090394e+01,4.000000000000000000e+01
2.600000000000000000e+02,2.385716593621918591e+01,4.454056746989760995e+01,4.000000000000000000e+01
2.860000000000000000e+02,1.783122806442636943e+01,4.521388713090613010e+01,4.000000000000000000e+01
3.120000000000000000e+02,1.302572761948665381e+01,4.477981016273673731e+01,4.000000000000000000e+01
3.380000000000000000e+02,9.933721019749365055e+00,4.363182621903405334e+01,4.000000000000000000e+01
3.640000000000000000e+02,8.608515008353522902e+00,4.217468345811454355e+01,4.000000000000000000e+01
3.900000000000000000e+02,8.780584702137900877e+00,4.075075773959446224e+01,4.000000000000000000e+01
4.160000000000000000e+02,9.995806461070799287e+00,3.959913420235642434e+01,4.000000000000000000e+01
4.420000000000000000e+02,1.174611180965086454e+01,3.884396032509357610e+01,4.000000000000000000e+01
4.680000000000000000e+02,1.357296642558442201e+01,3.850541747019616423e+01,4.000000000000000000e+01
4.940000000000000000e+02,1.513361046777157526e+01,3.852526997283752053e+01,4.000000000000000000e+01
5.200000000000000000e+02,1.622875125762258364e+01,3.879885298136298388e+01,4.000000000000000000e+01
5.460000000000000000e+02,1.679733588743614803e+01,3.920636035041894729e+01,4.000000000000000000e+01
5.720000000000000000e+02,1.688835247200211498e+01,3.963817790850583833e+01,4.000000000000000000e+01
5.980000000000000000e+02,1.662106148831868069e+01,4.001138101328086805e+01,4.000000000000000000e+01
6.240000000000000000e+02,1.614401862703491730e+01,4.027686550550890843e+01,4.000000000000000000e+01
6.500000000000000000e+02,1.560055442816136306e+01,4.041844447274161212e+01,4.000000000000000000e+01
6.760000000000000000e+02,1.510501342165673755e+01,4.044635124479782462e+01,4.000000000000000000e+01
7.020000000000000000e+02,1.473087882274889537e+01,4.038791547280231953e+01,4.000000000000000000e+01
7.280000000000000000e+02,1.450946750290708209e+01,4.027788665773789489e+01,4.000000000000000000e+01
7.540000000000000000e+02,1.443639793533637317e+01,4.015021747866450141e+01,4.000000000000000000e+01
7.800000000000000000e+02,1.448248022639531740e+01,4.003233061641708446e+01,4.000000000000000000e+01
8.060000000000000000e+02,1.460586666318202376e+01,3.994216062175559045e+01,4.000000000000000000e+01
8.320000000000000000e+02,1.476298121700418164e+01,3.988769632268042642e+01,4.000000000000000000e+01
8.580000000000000000e+02,1.491666078711399912e+01,3.986839445123723635e+01,4.000000000000000000e+01
8.840000000000000000e+02,1.504086889563638252e+01,3.987768889051756105e+01,4.000000000000000000e+01
9.100000000000000000e+02,1.512212196920230767e+01,3.990584763756697839e+01,4.000000000000000000e+01
9.360000000000000000e+02,1.515830568860538996e+01,3.994257863294069466e+01,4.000000000000000000e+01
9.620000000000000000e+02,1.515582706958497639e+01,3.997899751039904004e+01,4.000000000000000000e+01
