Tiempo (sec), Calentador 1 (%), Temperatura 1 (degC),Referencia 
0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
2.600000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
5.200000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
7.800000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.040000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.300000000000000000e+02,2.140047118356362787e+01,2.500000000000000000e+01,4.000000000000000000e+01
1.560000000000000000e+02,2.116187082481675930e+01,2.854421255133519253e+01,4.000000000000000000e+01
1.820000000000000000e+02,2.066107183490301225e+01,3.147429113935123723e+01,4.000000000000000000e+01
2.080000000000000000e+02,2.002389455689620945e+01,3.384030679703471378e+01,4.000000000000000000e+01
2.340000000000000000e+02,1.933721830049982415e+01,3.570835250484856260e+01,4.000000000000000000e+01
2.600000000000000000e+02,1.865830252442378878e+01,3.715040274994146330e+01,4.000000000000000000e+01
2.860000000000000000e+02,1.802255086136213791e+01,3.823754745977078073e+01,4.000000000000000000e+01
3.120000000000000000e+02,1.744970480388190026e+01,3.903584987135377560e+01,4.000000000000000000e+01
3.380000000000000000e+02,1.694862461278505350e+01,3.960412716758185070e+01,4.000000000000000000e+01
3.640000000000000000e+02,1.652088358981237448e+01,3.999306249793596635e+01,4.000000000000000000e+01
3.900000000000000000e+02,1.616340956676159379e+01,4.024518473559732001e+01,4.000000000000000000e+01
4.160000000000000000e+02,1.587038471184462729e+01,4.039537265151858492e+01,4.000000000000000000e+01
4.420000000000000000e+02,1.563458067316958200e+01,4.047164136603436191e+01,4.000000000000000000e+01
4.680000000000000000e+02,1.544827109108605967e+01,4.049604797567081960e+01,4.000000000000000000e+01
4.940000000000000000e+02,1.530383236202993658e+01,4.048561180529651438e+01,4.000000000000000000e+01
5.200000000000000000e+02,1.519411774142361971e+01,4.045318635349178749e+01,4.000000000000000000e+01
5.460000000000000000e+02,1.511266934689364483e+01,4.040824855429190166e+01,4.000000000000000000e+01
5.720000000000000000e+02,1.505381664342367642e+01,4.035758991820915753e+01,4.000000000000000000e+01
5.980000000000000000e+02,1.501269768524641712e+01,4.030590621689799491e+01,4.000000000000000000e+01
6.240000000000000000e+02,1.498522995671089575e+01,4.025628973825075718e+01,4.000000000000000000e+01
6.500000000000000000e+02,1.496805043718593886e+01,4.021063229081153167e+01,4.000000000000000000e+01
6.760000000000000000e+02,1.495843900221107781e+01,4.016994915913181785e+01,4.000000000000000000e+01
7.020000000000000000e+02,1.495423507534477636e+01,4.013463485727589841e+01,4.000000000000000000e+01
7.280000000000000000e+02,1.495375426820933384e+01,4.010466131242071697e+01,4.000000000000000000e+01
7.540000000000000000e+02,1.495570936568156561e+01,4.007972838548226946e+01,4.000000000000000000e+01
7.800000000000000000e+02,1.495913825540762865e+01,4.005937563739291818e+01,4.000000000000000000e+01
8.060000000000000000e+02,1.496334012928315715e+01,4.004306313528650207e+01,4.000000000000000000e+01
8.320000000000000000e+02,1.496782039040309620e+01,4.003022796483276124e+01,4.000000000000000000e+01
8.580000000000000000e+02,1.497224409476164020e+01,4.002032203769351781e+01,4.000000000000000000e+01
8.840000000000000000e+02,1.497639737217847333e+01,4.001283579453581751e+01,4.000000000000000000e+01
9.100000000000000000e+02,1.498015604892558272e+01,4.000731152393956336e+01,4.000000000000000000e+01
9.360000000000000000e+02,1.498346059025146459e+01,4.000334925306196965e+01,4.000000000000000000e+01
9.620000000000000000e+02,1.498629645899709573e+01,4.000060751588529229e+01,4.000000000000000000e+01
