Tiempo (sec), Calentador 1 (%), Temperatura 1 (degC),Referencia 
0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
2.600000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
5.200000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
7.800000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.040000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.300000000000000000e+02,1.902029633141097165e+01,2.500000000000000000e+01,4.000000000000000000e+01
1.560000000000000000e+02,1.789807373891186870e+01,2.815019819582369109e+01,4.000000000000000000e+01
1.820000000000000000e+02,1.705454312671441386e+01,3.060489379520788589e+01,4.000000000000000000e+01
2.080000000000000000e+02,1.642709277619060515e+01,3.251849351947856803e+01,4.000000000000000000e+01
2.340000000000000000e+02,1.596510803234589737e+01,3.401262557944670561e+01,4.000000000000000000e+01
2.600000000000000000e+02,1.562852559854896839e+01,3.518222974867791208e+01,4.000000000000000000e+01
2.860000000000000000e+02,1.538613507173840311e+01,3.610092709732720095e+01,4.000000000000000000e+01
3.120000000000000000e+02,1.521392149656255555e+01,3.682554648349037052e+01,4.000000000000000000e+01
3.380000000000000000e+02,1.509358807991364060e+01,3.739982541041177910e+01,4.000000000000000000e+01
3.640000000000000000e+02,1.501130784453304301e+01,3.785737146173465817e+01,4.000000000000000000e+01
3.900000000000000000e+02,1.495670457996576452e+01,3.822399569375420469e+01,4.000000000000000000e+01
4.160000000000000000e+02,1.492204051874215409e+01,3.851953062771593750e+01,4.000000000000000000e+01
4.420000000000000000e+02,1.490157973967293259e+01,3.875923511976338887e+01,4.000000000000000000e+01
4.680000000000000000e+02,1.489109552908052159e+01,3.895487354908891575e+01,4.000000000000000000e+01
4.940000000000000000e+02,1.488749277790996572e+01,3.911554131494995090e+01,4.000000000000000000e+01
5.200000000000000000e+02,1.488852070695271301e+01,3.924829443824597774e+01,4.000000000000000000e+01
5.460000000000000000e+02,1.489255561947203610e+01,3.935862885997255489e+01,4.000000000000000000e+01
5.720000000000000000e+02,1.489843742618342404e+01,3.945084495334918984e+01,4.000000000000000000e+01
5.980000000000000000e+02,1.490534715842284896e+01,3.952832466571510395e+01,4.000000000000000000e+01
6.240000000000000000e+02,1.491271554438121072e+01,3.959374231139810263e+01,4.000000000000000000e+01
6.500000000000000000e+02,1.492015501656108256e+01,3.964922505375926676e+01,4.000000000000000000e+01
6.760000000000000000e+02,1.492740932469026482e+01,3.969647526832693529e+01,4.000000000000000000e+01
7.020000000000000000e+02,1.493431633217302057e+01,3.973686403069245898e+01,4.000000000000000000e+01
7.280000000000000000e+02,1.494078065485171258e+01,3.977150272466832348e+01,4.000000000000000000e+01
7.540000000000000000e+02,1.494675362673580388e+01,3.980129805848736169e+01,4.000000000000000000e+01
7.800000000000000000e+02,1.495221870495957717e+01,3.982699448335586112e+01,4.000000000000000000e+01
8.060000000000000000e+02,1.495718090105537001e+01,3.984920703102244488e+01,4.000000000000000000e+01
8.320000000000000000e+02,1.496165918358401292e+01,3.986844684917838322e+01,4.000000000000000000e+01
8.580000000000000000e+02,1.496568106622025773e+01,3.988514115719067377e+01,4.000000000000000000e+01
8.840000000000000000e+02,1.496927879713030940e+01,3.989964892545310704e+01,4.000000000000000000e+01
9.100000000000000000e+02,1.497248671640587681e+01,3.991227326580298040e+01,4.000000000000000000e+01
9.360000000000000000e+02,1.497533946102104352e+01,3.992327128245455015e+01,4.000000000000000000e+01
9.620000000000000000e+02,1.497787078077570833e+01,3.993286195348127876e+01,4.000000000000000000e+01
