Tiempo (sec), Calentador 1 (%), Temperatura 1 (degC),Referencia 
0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
2.600000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
5.200000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
7.800000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.040000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.300000000000000000e+02,2.505290742693533090e+01,2.500000000000000000e+01,4.000000000000000000e+01
1.560000000000000000e+02,2.169232403157381839e+01,2.914875128369101276e+01,4.000000000000000000e+01
1.820000000000000000e+02,2.846025435905997369e+01,3.206765473977992542e+01,4.000000000000000000e+01
2.080000000000000000e+02,3.096469496472541749e+01,3.562289636333935050e+01,4.000000000000000000e+01
2.340000000000000000e+02,3.116433465633600619e+01,3.899592922435641640e+01,4.000000000000000000e+01
2.600000000000000000e+02,2.931601989595878877e+01,4.182876653461045180e+01,4.000000000000000000e+01
2.860000000000000000e+02,2.607775386873905532e+01,4.387029131862982467e+01,4.000000000000000000e+01
3.120000000000000000e+02,2.212318538685582681e+01,4.502527037015755695e+01,4.000000000000000000e+01
3.380000000000000000e+02,1.808209857833433887e+01,4.532912629594403597e+01,4.000000000000000000e+01
3.640000000000000000e+02,1.446828315580201085e+01,4.491613079914276341e+01,4.000000000000000000e+01
3.900000000000000000e+02,1.164044719736953404e+01,4.398146976694476962e+01,4.000000000000000000e+01
4.160000000000000000e+02,9.789520524574959026e+00,4.274441529725834243e+01,4.000000000000000000e+01
4.420000000000000000e+02,8.948854180955258641e+00,4.141675578159203042e+01,4.000000000000000000e+01
4.680000000000000000e+02,9.021381637857531999e+00,4.017888779856900783e+01,4.000000000000000000e+01
4.940000000000000000e+02,9.817177121893122305e+00,3.916450708399821679e+01,4.000000000000000000e+01
5.200000000000000000e+02,1.109493210231549121e+01,3.845378163721170495e+01,4.000000000000000000e+01
5.460000000000000000e+02,1.260163396951610082e+01,3.807411084956856939e+01,4.000000000000000000e+01
5.720000000000000000e+02,1.410598755639121293e+01,3.800699210344794210e+01,4.000000000000000000e+01
5.980000000000000000e+02,1.542267914367397807e+01,3.819911760056606909e+01,4.000000000000000000e+01
6.240000000000000000e+02,1.642623129851150310e+01,3.857563922569767101e+01,4.000000000000000000e+01
6.500000000000000000e+02,1.705472408267019091e+01,3.905359760629517041e+01,4.000000000000000000e+01
6.760000000000000000e+02,1.730488461279510659e+01,3.955380853031709876e+01,4.000000000000000000e+01
7.020000000000000000e+02,1.722085517227889540e+01,4.000998388132234140e+01,4.000000000000000000e+01
7.280000000000000000e+02,1.687930166272385080e+01,4.037444527944376205e+01,4.000000000000000000e+01
7.540000000000000000e+02,1.637345698999698129e+01,4.062036256235893461e+01,4.000000000000000000e+01
7.800000000000000000e+02,1.579830260621896976e+01,4.074092537426986382e+01,4.000000000000000000e+01
8.060000000000000000e+02,1.523849832856364372e+01,4.074617763095056944e+01,4.000000000000000000e+01
8.320000000000000000e+02,1.475999857373401269e+01,4.065839534803006927e+01,4.000000000000000000e+01
8.580000000000000000e+02,1.440564602922623294e+01,4.050688639847754757e+01,4.000000000000000000e+01
8.840000000000000000e+02,1.419448650351100660e+01,4.032297482695264534e+01,4.000000000000000000e+01
9.100000000000000000e+02,1.412414584946053253e+01,4.013574714427579693e+01,4.000000000000000000e+01
9.360000000000000000e+02,1.417536867450681726e+01,3.996892434083065382e+01,4.000000000000000000e+01
9.620000000000000000e+02,1.431773410061746432e+01,3.983901325874421673e+01,4.000000000000000000e+01
