Tiempo (sec), Calentador 1 (%), Temperatura 1 (degC),Referencia 
0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
2.600000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
5.200000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
7.800000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.040000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.300000000000000000e+02,4.785113515223701341e+01,2.500000000000000000e+01,4.000000000000000000e+01
1.560000000000000000e+02,3.172341834422956452e+01,3.291986819180533530e+01,4.000000000000000000e+01
1.820000000000000000e+02,4.139968250907934788e+01,3.687160493997652111e+01,4.000000000000000000e+01
2.080000000000000000e+02,3.621941527697323693e+01,4.175167871173903222e+01,4.000000000000000000e+01
2.340000000000000000e+02,2.872513918145224920e+01,4.494125875241002177e+01,4.000000000000000000e+01
2.600000000000000000e+02,1.914189608666601927e+01,4.634398132014968041e+01,4.000000000000000000e+01
2.860000000000000000e+02,1.068710718683834671e+01,4.592731619909756091e+01,4.000000000000000000e+01
3.120000000000000000e+02,5.002566965889688078e+00,4.419504790509159875e+01,4.000000000000000000e+01
3.380000000000000000e+02,2.892371007466213229e+00,4.182957388969435897e+01,4.000000000000000000e+01
3.640000000000000000e+02,4.107052648348502366e+00,3.952406072982034857e+01,4.000000000000000000e+01
3.900000000000000000e+02,7.668121182095500643e+00,3.781157878560077279e+01,4.000000000000000000e+01
4.160000000000000000e+02,1.223779137126063432e+01,3.697572877353672993e+01,4.000000000000000000e+01
4.420000000000000000e+02,1.651552901729779776e+01,3.703409404261537929e+01,4.000000000000000000e+01
4.680000000000000000e+02,1.954103915543176839e+01,3.778774307771107033e+01,4.000000000000000000e+01
4.940000000000000000e+02,2.085376074328317131e+01,3.891247486783208842e+01,4.000000000000000000e+01
5.200000000000000000e+02,2.049843163718394479e+01,4.006230360682013725e+01,4.000000000000000000e+01
5.460000000000000000e+02,1.890816162593616667e+01,4.095731486571418145e+01,4.000000000000000000e+01
5.720000000000000000e+02,1.671942371392233539e+01,4.143722516374589304e+01,4.000000000000000000e+01
5.980000000000000000e+02,1.457791024471625185e+01,4.147458486621309248e+01,4.000000000000000000e+01
6.240000000000000000e+02,1.298323474680248424e+01,4.115316946322906233e+01,4.000000000000000000e+01
6.500000000000000000e+02,1.220082087808919979e+01,4.062447764758013591e+01,4.000000000000000000e+01
6.760000000000000000e+02,1.224761128114152875e+01,4.005751048838146744e+01,4.000000000000000000e+01
7.020000000000000000e+02,1.293966216382196421e+01,3.959507736742153838e+01,4.000000000000000000e+01
7.280000000000000000e+02,1.397763495614995044e+01,3.932542533320383882e+01,4.000000000000000000e+01
7.540000000000000000e+02,1.504209423370878085e+01,3.927262050321417064e+01,4.000000000000000000e+01
7.800000000000000000e+02,1.587385887750365399e+01,3.940410569620803471e+01,4.000000000000000000e+01
8.060000000000000000e+02,1.632326834973749641e+01,3.965017127928939544e+01,4.000000000000000000e+01
8.320000000000000000e+02,1.636302036622977241e+01,3.992828922594918595e+01,4.000000000000000000e+01
8.580000000000000000e+02,1.606911662681735109e+01,4.016548580983993588e+01,4.000000000000000000e+01
8.840000000000000000e+02,1.558116233525334771e+01,4.031377593453316877e+01,4.000000000000000000e+01
9.100000000000000000e+02,1.505582972491627913e+01,4.035639143315313504e+01,4.000000000000000000e+01
9.360000000000000000e+02,1.462599964172804867e+01,4.030524403181709658e+01,4.000000000000000000e+01
9.620000000000000000e+02,1.437410143433860021e+01,4.019208305120747582e+01,4.000000000000000000e+01
