Tiempo (sec), Calentador 1 (%), Temperatura 1 (degC),Referencia 
0.000000000000000000e+00,0.000000000000000000e+00,2.167000000000000171e+01,2.164000000000000057e+01
1.000000000000000000e+00,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
3.000000000000000000e+00,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
4.000000000000000000e+00,0.000000000000000000e+00,2.167000000000000171e+01,2.164000000000000057e+01
5.000000000000000000e+00,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
6.000000000000000000e+00,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
7.000000000000000000e+00,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
8.000000000000000000e+00,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
9.000000000000000000e+00,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
1.000000000000000000e+01,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
1.100000000000000000e+01,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
1.200000000000000000e+01,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
1.300000000000000000e+01,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
1.400000000000000000e+01,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
1.500000000000000000e+01,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
1.600000000000000000e+01,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
1.700000000000000000e+01,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
1.800000000000000000e+01,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
1.900000000000000000e+01,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
2.000000000000000000e+01,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
2.100000000000000000e+01,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
2.200000000000000000e+01,0.000000000000000000e+00,2.164000000000000057e+01,2.164000000000000057e+01
