Tiempo (sec), Calentador 1 (%), Temperatura 1 (degC),Referencia 
0.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,2.700000000000000000e+01
4.700000000000000000e+01,0.000000000000000000e+00,2.700000000000000000e+01,2.700000000000000000e+01
9.400000000000000000e+01,0.000000000000000000e+00,2.700000000000000000e+01,2.700000000000000000e+01
1.410000000000000000e+02,0.000000000000000000e+00,2.700000000000000000e+01,2.700000000000000000e+01
1.880000000000000000e+02,2.340000000000000213e+01,2.700000000000000000e+01,4.000000000000000000e+01
2.350000000000000000e+02,5.832794112026761901e+00,4.108458885868226673e+01,4.000000000000000000e+01
2.820000000000000000e+02,4.116153971772113174e+00,4.246091305889842715e+01,4.000000000000000000e+01
3.290000000000000000e+02,3.948620641430903078e+00,4.259523368410366828e+01,4.000000000000000000e+01
3.760000000000000000e+02,3.932272893493273358e+00,4.260834056689056126e+01,4.000000000000000000e+01
4.230000000000000000e+02,3.930677719227177569e+00,4.260961950526238695e+01,4.000000000000000000e+01
4.700000000000000000e+02,3.930522066160461847e+00,4.260974430083108899e+01,4.000000000000000000e+01
5.170000000000000000e+02,3.930506877930549869e+00,4.260975647806491651e+01,4.000000000000000000e+01
5.640000000000000000e+02,3.930505395901676913e+00,4.260975766628844497e+01,4.000000000000000000e+01
6.110000000000000000e+02,3.930505251289054591e+00,4.260975778223228616e+01,4.000000000000000000e+01
6.580000000000000000e+02,3.930505237178134159e+00,4.260975779354578208e+01,4.000000000000000000e+01
7.050000000000000000e+02,3.930505235801226682e+00,4.260975779464972391e+01,4.000000000000000000e+01
7.520000000000000000e+02,3.930505235666882591e+00,4.260975779475743508e+01,4.000000000000000000e+01
7.990000000000000000e+02,3.930505235653773966e+00,4.260975779476794401e+01,4.000000000000000000e+01
8.460000000000000000e+02,3.930505235652489660e+00,4.260975779476897429e+01,4.000000000000000000e+01
8.930000000000000000e+02,3.930505235652365315e+00,4.260975779476907377e+01,4.000000000000000000e+01
9.400000000000000000e+02,3.930505235652356433e+00,4.260975779476908087e+01,4.000000000000000000e+01
9.870000000000000000e+02,3.930505235652346663e+00,4.260975779476908798e+01,4.000000000000000000e+01
1.034000000000000000e+03,3.930505235652346663e+00,4.260975779476908798e+01,4.000000000000000000e+01
