Time (sec), Heater 1 (%), Temperature 1 (degC)
0.000000000000000000e+00,0.000000000000000000e+00,3.417999999999999972e+01
9.910311698913574219e-01,0.000000000000000000e+00,3.417999999999999972e+01
1.993929862976074219e+00,0.000000000000000000e+00,3.417999999999999972e+01
2.991462707519531250e+00,0.000000000000000000e+00,3.417999999999999972e+01
3.993272066116333008e+00,0.000000000000000000e+00,3.417999999999999972e+01
4.988758563995361328e+00,0.000000000000000000e+00,3.417999999999999972e+01
5.993765354156494141e+00,0.000000000000000000e+00,3.417999999999999972e+01
6.986168861389160156e+00,0.000000000000000000e+00,3.417999999999999972e+01
7.980782508850097656e+00,0.000000000000000000e+00,3.417999999999999972e+01
8.971853494644165039e+00,0.000000000000000000e+00,3.417999999999999972e+01
9.970478057861328125e+00,5.000000000000000000e+01,3.417999999999999972e+01
1.096515679359436035e+01,5.000000000000000000e+01,3.407999999999999829e+01
1.195902013778686523e+01,5.000000000000000000e+01,3.410999999999999943e+01
1.295554995536804199e+01,5.000000000000000000e+01,3.417999999999999972e+01
1.394959211349487305e+01,5.000000000000000000e+01,3.450000000000000000e+01
1.494279980659484863e+01,5.000000000000000000e+01,3.467000000000000171e+01
1.593803811073303223e+01,5.000000000000000000e+01,3.499000000000000199e+01
1.693316102027893066e+01,5.000000000000000000e+01,3.522999999999999687e+01
1.793471503257751465e+01,5.000000000000000000e+01,3.564000000000000057e+01
1.893265533447265625e+01,5.000000000000000000e+01,3.613000000000000256e+01
1.992982172966003418e+01,5.000000000000000000e+01,3.646999999999999886e+01
2.092361903190612793e+01,5.000000000000000000e+01,3.686999999999999744e+01
2.191774606704711914e+01,5.000000000000000000e+01,3.735000000000000142e+01
2.291646361351013184e+01,5.000000000000000000e+01,3.792000000000000171e+01
2.391140937805175781e+01,5.000000000000000000e+01,3.842999999999999972e+01
2.491306543350219727e+01,5.000000000000000000e+01,3.889000000000000057e+01
2.590963435173034668e+01,5.000000000000000000e+01,3.942999999999999972e+01
2.691043806076049805e+01,5.000000000000000000e+01,3.986999999999999744e+01
2.791437673568725586e+01,5.000000000000000000e+01,4.040999999999999659e+01
2.890918445587158203e+01,5.000000000000000000e+01,4.099000000000000199e+01
2.990653252601623535e+01,5.000000000000000000e+01,4.150000000000000000e+01
3.090152025222778320e+01,5.000000000000000000e+01,4.199000000000000199e+01
3.189519715309143066e+01,5.000000000000000000e+01,4.253000000000000114e+01
3.288683867454528809e+01,5.000000000000000000e+01,4.321000000000000085e+01
3.388471484184265137e+01,5.000000000000000000e+01,4.367999999999999972e+01
3.488238883018493652e+01,5.000000000000000000e+01,4.425999999999999801e+01
3.588261747360229492e+01,5.000000000000000000e+01,4.485000000000000142e+01
3.688187479972839355e+01,5.000000000000000000e+01,4.540999999999999659e+01
3.787363529205322266e+01,5.000000000000000000e+01,4.589999999999999858e+01
3.887035489082336426e+01,5.000000000000000000e+01,4.643999999999999773e+01
3.986829042434692383e+01,5.000000000000000000e+01,4.714000000000000057e+01
4.086990284919738770e+01,5.000000000000000000e+01,4.771000000000000085e+01
4.186468005180358887e+01,5.000000000000000000e+01,4.832000000000000028e+01
4.285722851753234863e+01,5.000000000000000000e+01,4.882999999999999829e+01
