Tiempo (sec), Calentador 1 (%), Temperatura 1 (degC),Referencia 
0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
2.600000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
5.200000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
7.800000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.040000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.300000000000000000e+02,1.870807223217406801e+01,2.500000000000000000e+01,4.000000000000000000e+01
1.560000000000000000e+02,1.936161753757879467e+01,2.809850931930867546e+01,4.000000000000000000e+01
1.820000000000000000e+02,1.957251566944222532e+01,3.080363643271800811e+01,4.000000000000000000e+01
2.080000000000000000e+02,1.947780648987866670e+01,3.310050600504609974e+01,4.000000000000000000e+01
2.340000000000000000e+02,1.918484506613721763e+01,3.500163617030898422e+01,4.000000000000000000e+01
2.600000000000000000e+02,1.877527574621370832e+01,3.653713659155533833e+01,4.000000000000000000e+01
2.860000000000000000e+02,1.830926782227009042e+01,3.774706396131711017e+01,4.000000000000000000e+01
3.120000000000000000e+02,1.782958788359925961e+01,3.867575459869703991e+01,4.000000000000000000e+01
3.380000000000000000e+02,1.736527097806716924e+01,3.936784740333001764e+01,4.000000000000000000e+01
3.640000000000000000e+02,1.693478619100071825e+01,3.986567264307188907e+01,4.000000000000000000e+01
3.900000000000000000e+02,1.654867799116205873e+01,4.020769167871935679e+01,4.000000000000000000e+01
4.160000000000000000e+02,1.621171381618727025e+01,4.042770939071721159e+01,4.000000000000000000e+01
4.420000000000000000e+02,1.592459235127703998e+01,4.055462903876878045e+01,4.000000000000000000e+01
4.680000000000000000e+02,1.568527524448790089e+01,4.061256824900391393e+01,4.000000000000000000e+01
4.940000000000000000e+02,1.549000440241670518e+01,4.062119908952888636e+01,4.000000000000000000e+01
5.200000000000000000e+02,1.533406195374170800e+01,4.059621234443079629e+01,4.000000000000000000e+01
5.460000000000000000e+02,1.521232310600143656e+01,4.054983572181089357e+01,4.000000000000000000e+01
5.720000000000000000e+02,1.511964490273403428e+01,4.049135848790973569e+01,4.000000000000000000e+01
5.980000000000000000e+02,1.505112703642991256e+01,4.042763198622924392e+01,4.000000000000000000e+01
6.240000000000000000e+02,1.500227468644789397e+01,4.036352783640006692e+01,4.000000000000000000e+01
6.500000000000000000e+02,1.496908791807438810e+01,4.030234436024943534e+01,4.000000000000000000e+01
6.760000000000000000e+02,1.494809748384315817e+01,4.024615782979265077e+01,4.000000000000000000e+01
7.020000000000000000e+02,1.493636285594480384e+01,4.019611917127411971e+01,4.000000000000000000e+01
7.280000000000000000e+02,1.493144492201595241e+01,4.015269932956277898e+01,4.000000000000000000e+01
7.540000000000000000e+02,1.493136292924019415e+01,4.011588800635490770e+01,4.000000000000000000e+01
7.800000000000000000e+02,1.493454290105631443e+01,4.008535124007460126e+01,4.000000000000000000e+01
8.060000000000000000e+02,1.493976281890134317e+01,4.006055352381849843e+01,4.000000000000000000e+01
8.320000000000000000e+02,1.494609830431961939e+01,4.004085003048589897e+01,4.000000000000000000e+01
8.580000000000000000e+02,1.495287130388708086e+01,4.002555415779744408e+01,4.000000000000000000e+01
8.840000000000000000e+02,1.495960332345094201e+01,4.001398511350487297e+01,4.000000000000000000e+01
9.100000000000000000e+02,1.496597403527056436e+01,4.000549970076349382e+01,4.000000000000000000e+01
9.360000000000000000e+02,1.497178555154373925e+01,3.999951188403275637e+01,4.000000000000000000e+01
9.620000000000000000e+02,1.497693228425474743e+01,3.999550315071593332e+01,4.000000000000000000e+01
