Tiempo (sec), Calentador 1 (%), Temperatura 1 (degC),Referencia 
0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
2.600000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
5.200000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
7.800000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.040000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.300000000000000000e+02,1.587689085704895042e+01,2.500000000000000000e+01,4.000000000000000000e+01
1.560000000000000000e+02,2.039064496711345598e+01,2.762977105212053175e+01,4.000000000000000000e+01
1.820000000000000000e+02,2.328442194452285463e+01,3.058136417846606037e+01,4.000000000000000000e+01
2.080000000000000000e+02,2.474756071527184886e+01,3.352798345419591897e+01,4.000000000000000000e+01
2.340000000000000000e+02,2.503880702675071745e+01,3.622745988259322303e+01,4.000000000000000000e+01
2.600000000000000000e+02,2.444547901258072287e+01,3.852193469779848556e+01,4.000000000000000000e+01
2.860000000000000000e+02,2.325110423878042809e+01,4.032968463042493568e+01,4.000000000000000000e+01
3.120000000000000000e+02,2.171238910347931039e+01,4.163188748347130286e+01,4.000000000000000000e+01
3.380000000000000000e+02,2.004505036169447152e+01,4.245709778616543417e+01,4.000000000000000000e+01
3.640000000000000000e+02,1.841720639346146982e+01,4.286571545900460478e+01,4.000000000000000000e+01
3.900000000000000000e+02,1.694865721662367974e+01,4.293602941051932476e+01,4.000000000000000000e+01
4.160000000000000000e+02,1.571435386218559138e+01,4.275271772737283982e+01,4.000000000000000000e+01
4.420000000000000000e+02,1.475053012918570872e+01,4.239811801701182503e+01,4.000000000000000000e+01
4.680000000000000000e+02,1.406223109808025740e+01,4.194619041866712905e+01,4.000000000000000000e+01
4.940000000000000000e+02,1.363125207600584332e+01,4.145886754264864749e+01,4.000000000000000000e+01
5.200000000000000000e+02,1.342376274051536633e+01,4.098437944776782160e+01,4.000000000000000000e+01
5.460000000000000000e+02,1.339712018151733375e+01,4.055711478868033737e+01,4.000000000000000000e+01
5.720000000000000000e+02,1.350556853204914987e+01,4.019859769877103872e+01,4.000000000000000000e+01
5.980000000000000000e+02,1.370468305632750372e+01,3.991920188113408585e+01,4.000000000000000000e+01
6.240000000000000000e+02,1.395454465493696006e+01,3.972027634031343268e+01,4.000000000000000000e+01
6.500000000000000000e+02,1.422172818690681773e+01,3.959641476493499113e+01,4.000000000000000000e+01
6.760000000000000000e+02,1.448025623248427252e+01,3.953765928757275105e+01,4.000000000000000000e+01
7.020000000000000000e+02,1.471171094358039788e+01,3.953148677610744244e+01,4.000000000000000000e+01
7.280000000000000000e+02,1.490471343984292396e+01,3.956447971894698412e+01,4.000000000000000000e+01
7.540000000000000000e+02,1.505397681823309775e+01,3.962363198293985533e+01,4.000000000000000000e+01
7.800000000000000000e+02,1.515912002968380357e+01,3.969728035059057447e+01,4.000000000000000000e+01
8.060000000000000000e+02,1.522340071402235750e+01,3.977568447438289923e+01,4.000000000000000000e+01
8.320000000000000000e+02,1.525249045968193862e+01,3.985130019365470844e+01,4.000000000000000000e+01
8.580000000000000000e+02,1.525338012251433994e+01,3.991880435503571789e+01,4.000000000000000000e+01
8.840000000000000000e+02,1.523346913948747350e+01,3.997493439230601098e+01,4.000000000000000000e+01
9.100000000000000000e+02,1.519986351620433318e+01,4.001820448915344741e+01,4.000000000000000000e+01
9.360000000000000000e+02,1.515888365825571427e+01,4.004855394381075939e+01,4.000000000000000000e+01
9.620000000000000000e+02,1.511576589826680461e+01,4.006697415288505226e+01,4.000000000000000000e+01
