Tiempo (sec), Calentador 1 (%), Temperatura 1 (degC),Referencia 
0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
2.600000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
5.200000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
7.800000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.040000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.300000000000000000e+02,5.189533490509387548e+01,2.500000000000000000e+01,4.000000000000000000e+01
1.560000000000000000e+02,3.212649088611824055e+01,3.358840081239236497e+01,4.000000000000000000e+01
1.820000000000000000e+02,4.361882353570254622e+01,3.749486782529015727e+01,4.000000000000000000e+01
2.080000000000000000e+02,3.637251734795049884e+01,4.263389055963682495e+01,4.000000000000000000e+01
2.340000000000000000e+02,2.750105967174249599e+01,4.569540389614780906e+01,4.000000000000000000e+01
2.600000000000000000e+02,1.638034559854260053e+01,4.676490773836013659e+01,4.000000000000000000e+01
2.860000000000000000e+02,7.280051287092572210e+00,4.582094957657551504e+01,4.000000000000000000e+01
3.120000000000000000e+02,1.925357313655448266e+00,4.354745926029710290e+01,4.000000000000000000e+01
3.380000000000000000e+02,1.066528066255795437e+00,4.078768329098977574e+01,4.000000000000000000e+01
3.640000000000000000e+02,4.036214424431783243e+00,3.835947884974399358e+01,4.000000000000000000e+01
3.900000000000000000e+02,9.316799301607883166e+00,3.683246872813839445e+01,4.000000000000000000e+01
4.160000000000000000e+02,1.506768098697295422e+01,3.643335619004687942e+01,4.000000000000000000e+01
4.420000000000000000e+02,1.968350523613224112e+01,3.704957082112122180e+01,4.000000000000000000e+01
4.680000000000000000e+02,2.217038257124692890e+01,3.832269767664399751e+01,4.000000000000000000e+01
4.940000000000000000e+02,2.228973404046306328e+01,3.978971042455810903e+01,4.000000000000000000e+01
5.200000000000000000e+02,2.047235563085390808e+01,4.102618829872994866e+01,4.000000000000000000e+01
5.460000000000000000e+02,1.757322409708091371e+01,4.175163214150785507e+01,4.000000000000000000e+01
5.720000000000000000e+02,1.456380795698083830e+01,4.187537983826348409e+01,4.000000000000000000e+01
5.980000000000000000e+02,1.225497189005547582e+01,4.148275659614154165e+01,4.000000000000000000e+01
6.240000000000000000e+02,1.111614261973637063e+01,4.077769034737832499e+01,4.000000000000000000e+01
6.500000000000000000e+02,1.121867192707959404e+01,4.000596457693814045e+01,4.000000000000000000e+01
6.760000000000000000e+02,1.229418423165883389e+01,3.938289462251725581e+01,4.000000000000000000e+01
7.020000000000000000e+02,1.387078094248582261e+01,3.904305591124432340e+01,4.000000000000000000e+01
7.280000000000000000e+02,1.543655132204120051e+01,3.902068040181296738e+01,4.000000000000000000e+01
7.540000000000000000e+02,1.658205135178675604e+01,3.925999617341483372e+01,4.000000000000000000e+01
7.800000000000000000e+02,1.708811528793665957e+01,3.964722787966422857e+01,4.000000000000000000e+01
8.060000000000000000e+02,1.694638637293705230e+01,4.005177666507910317e+01,4.000000000000000000e+01
8.320000000000000000e+02,1.632032632563206320e+01,4.036391385587290870e+01,4.000000000000000000e+01
8.580000000000000000e+02,1.546870381380427339e+01,4.051962589163929351e+01,4.000000000000000000e+01
8.840000000000000000e+02,1.465906160513741519e+01,4.050851842122648350e+01,4.000000000000000000e+01
9.100000000000000000e+02,1.409580626173025131e+01,4.036604186912427394e+01,4.000000000000000000e+01
9.360000000000000000e+02,1.387887048315640648e+01,4.015520849661618286e+01,4.000000000000000000e+01
9.620000000000000000e+02,1.399780697502884941e+01,3.994468123855762087e+01,4.000000000000000000e+01
