Tiempo (sec), Calentador 1 (%), Temperatura 1 (degC),Referencia 
0.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
2.600000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
5.200000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
7.800000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.040000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+01,2.500000000000000000e+01
1.300000000000000000e+02,4.835254616044801423e+01,2.500000000000000000e+01,4.000000000000000000e+01
1.560000000000000000e+02,2.887465905421549195e+01,3.300276177326679772e+01,4.000000000000000000e+01
1.820000000000000000e+02,4.239088246997040699e+01,3.647072500552883412e+01,4.000000000000000000e+01
2.080000000000000000e+02,3.754565491145302047e+01,4.158219157840864000e+01,4.000000000000000000e+01
2.340000000000000000e+02,3.091707120583126311e+01,4.501910887001480432e+01,4.000000000000000000e+01
2.600000000000000000e+02,2.087100013579770419e+01,4.676806367055718283e+01,4.000000000000000000e+01
2.860000000000000000e+02,1.141129819642827670e+01,4.656072888458004400e+01,4.000000000000000000e+01
3.120000000000000000e+02,4.392529764145356452e+00,4.483663373115069817e+01,4.000000000000000000e+01
3.380000000000000000e+02,1.149781240102644375e+00,4.225970529452212077e+01,4.000000000000000000e+01
3.640000000000000000e+02,1.779557317069253131e+00,3.959365207947496401e+01,4.000000000000000000e+01
3.900000000000000000e+02,5.468976132604733920e+00,3.748587320283928648e+01,4.000000000000000000e+01
4.160000000000000000e+02,1.080331398656146291e+01,3.634237288786374620e+01,4.000000000000000000e+01
4.420000000000000000e+02,1.622012864072508620e+01,3.627074117030571188e+01,4.000000000000000000e+01
4.680000000000000000e+02,2.040707099924118850e+01,3.710431497230507603e+01,4.000000000000000000e+01
4.940000000000000000e+02,2.257528857561730717e+01,3.848742127552378633e+01,4.000000000000000000e+01
5.200000000000000000e+02,2.255720678105720722e+01,3.999309500396583417e+01,4.000000000000000000e+01
5.460000000000000000e+02,2.073760869003425000e+01,4.123878736680137536e+01,4.000000000000000000e+01
5.720000000000000000e+02,1.786441709676564216e+01,4.197132569233588129e+01,4.000000000000000000e+01
5.980000000000000000e+02,1.480658002803525264e+01,4.210513771565774732e+01,4.000000000000000000e+01
6.240000000000000000e+02,1.232600542208618322e+01,4.171290977599920780e+01,4.000000000000000000e+01
6.500000000000000000e+02,1.091477974181958466e+01,4.098002127193194610e+01,4.000000000000000000e+01
6.760000000000000000e+02,1.072458783629926415e+01,4.014053277782869600e+01,4.000000000000000000e+01
7.020000000000000000e+02,1.158921439453231983e+01,3.941315774090600144e+01,4.000000000000000000e+01
7.280000000000000000e+02,1.311902974754147877e+01,3.895206132075145433e+01,4.000000000000000000e+01
7.540000000000000000e+02,1.483274870276798296e+01,3.882132424124375802e+01,4.000000000000000000e+01
7.800000000000000000e+02,1.628853007412612541e+01,3.899507758295965232e+01,4.000000000000000000e+01
8.060000000000000000e+02,1.718297364386848258e+01,3.937906424311626097e+01,4.000000000000000000e+01
8.320000000000000000e+02,1.739970519996114007e+01,3.984496083502841657e+01,4.000000000000000000e+01
8.580000000000000000e+02,1.700464755054479582e+01,4.026705564167389184e+01,4.000000000000000000e+01
8.840000000000000000e+02,1.619848088846026712e+01,4.055197709175661203e+01,4.000000000000000000e+01
9.100000000000000000e+02,1.524521812232351969e+01,4.065545014911026556e+01,4.000000000000000000e+01
9.360000000000000000e+02,1.439814411969548047e+01,4.058430967781106347e+01,4.000000000000000000e+01
9.620000000000000000e+02,1.384121455663486522e+01,4.038591827473976537e+01,4.000000000000000000e+01
